OBD_No,OBD_Date,Goods_Issue_Time,Pick_Time,Pick_Date
10328387,4/19/2022,15:00.0,15:00.0,4/21/2022
10329821,10/4/2022,45:00.0,30:00.0,10/4/2022
10332878,3/4/2022,00:00.0,15:00.0,3/4/2022
10333912,1/1/2023,00:00.0,15:00.0,1/3/2023
10338423,12/22/2022,30:00.0,15:00.0,12/22/2022
10342788,8/30/2022,45:00.0,45:00.0,8/30/2022
10344739,8/29/2022,45:00.0,00:00.0,8/31/2022
10346126,4/7/2023,45:00.0,45:00.0,4/8/2023
10346237,10/31/2022,15:00.0,00:00.0,11/1/2022
10346771,11/25/2023,15:00.0,00:00.0,0001-01-01
10352830,2/10/2022,15:00.0,30:00.0,2/11/2022
10355692,11/26/2022,00:00.0,15:00.0,11/26/2022
10357389,9/29/2023,15:00.0,00:00.0,10/1/2023
10358277,3/23/2022,00:00.0,45:00.0,3/24/2022
10358466,0001-01-01,00:00.0,00:00.0,0001-01-01
10363033,0001-01-01,00:00.0,00:00.0,0001-01-01
10364864,0001-01-01,00:00.0,00:00.0,0001-01-01
10366686,12/14/2022,45:00.0,30:00.0,12/15/2022
10367488,3/20/2023,45:00.0,00:00.0,0001-01-01
10368153,12/28/2024,30:00.0,45:00.0,12/28/2024
10370853,0001-01-01,00:00.0,00:00.0,0001-01-01
10372592,8/4/2023,15:00.0,00:00.0,0001-01-01
10372849,11/7/2022,45:00.0,00:00.0,11/8/2022
10373002,10/23/2022,15:00.0,30:00.0,10/25/2022
10375217,0001-01-01,00:00.0,00:00.0,0001-01-01
10384435,0001-01-01,00:00.0,00:00.0,0001-01-01
10387371,11/10/2022,00:00.0,30:00.0,11/12/2022
10391130,11/11/2022,45:00.0,45:00.0,11/11/2022
10392185,5/12/2024,30:00.0,00:00.0,0001-01-01
10401299,4/12/2024,00:00.0,00:00.0,0001-01-01
10403216,8/31/2023,15:00.0,45:00.0,9/1/2023
10404729,10/28/2023,00:00.0,45:00.0,10/30/2023
10405420,0001-01-01,00:00.0,00:00.0,0001-01-01
10405792,11/24/2022,30:00.0,00:00.0,11/26/2022
10408648,3/26/2023,15:00.0,15:00.0,3/26/2023
10409707,2/25/2023,30:00.0,00:00.0,0001-01-01
10410356,5/21/2023,15:00.0,00:00.0,5/21/2023
10410603,0001-01-01,00:00.0,00:00.0,0001-01-01
10412827,0001-01-01,00:00.0,00:00.0,0001-01-01
10416129,0001-01-01,00:00.0,00:00.0,0001-01-01
10416997,1/7/2023,45:00.0,00:00.0,1/7/2023
10419308,1/30/2022,15:00.0,45:00.0,1/31/2022
10419981,3/17/2023,30:00.0,00:00.0,0001-01-01
10425250,2/6/2023,15:00.0,45:00.0,2/8/2023
10427861,0001-01-01,00:00.0,00:00.0,0001-01-01
10429189,9/24/2022,30:00.0,15:00.0,9/26/2022
10430734,1/6/2024,30:00.0,00:00.0,0001-01-01
10431228,6/29/2022,00:00.0,45:00.0,6/30/2022
10431428,0001-01-01,00:00.0,00:00.0,0001-01-01
10433915,8/18/2023,00:00.0,00:00.0,0001-01-01
10438499,7/14/2022,30:00.0,15:00.0,7/15/2022
10438642,1/23/2022,15:00.0,45:00.0,1/24/2022
10440936,12/31/2022,45:00.0,30:00.0,12/31/2022
10443315,10/6/2023,15:00.0,45:00.0,10/7/2023
10443906,8/12/2024,45:00.0,00:00.0,0001-01-01
10447935,7/18/2024,30:00.0,45:00.0,7/18/2024
10448477,11/4/2023,15:00.0,00:00.0,0001-01-01
10450795,4/2/2022,15:00.0,30:00.0,4/2/2022
10452009,4/1/2023,30:00.0,00:00.0,0001-01-01
10456602,12/1/2023,45:00.0,00:00.0,0001-01-01
10457051,9/12/2024,15:00.0,30:00.0,9/14/2024
10459152,9/6/2022,15:00.0,00:00.0,9/8/2022
10462685,2/26/2023,30:00.0,00:00.0,2/27/2023
10466556,0001-01-01,00:00.0,00:00.0,0001-01-01
10468741,9/28/2022,15:00.0,45:00.0,9/28/2022
10469298,0001-01-01,00:00.0,00:00.0,0001-01-01
10470877,3/31/2022,15:00.0,00:00.0,4/1/2022
10472068,1/31/2023,45:00.0,00:00.0,2/1/2023
10473295,0001-01-01,00:00.0,00:00.0,0001-01-01
10473543,0001-01-01,00:00.0,00:00.0,0001-01-01
10475699,0001-01-01,00:00.0,00:00.0,0001-01-01
10475894,6/21/2024,00:00.0,30:00.0,6/22/2024
10476674,4/10/2024,30:00.0,00:00.0,0001-01-01
10477994,1/31/2023,15:00.0,45:00.0,2/2/2023
10482235,0001-01-01,00:00.0,00:00.0,0001-01-01
10483257,4/25/2022,15:00.0,15:00.0,4/25/2022
10484377,1/15/2022,15:00.0,30:00.0,1/16/2022
10486611,7/1/2022,45:00.0,45:00.0,7/3/2022
10489883,11/6/2023,30:00.0,00:00.0,0001-01-01
10493503,0001-01-01,00:00.0,00:00.0,0001-01-01
10496212,8/31/2024,45:00.0,30:00.0,9/1/2024
10497585,9/24/2023,00:00.0,15:00.0,9/26/2023
10502052,7/18/2023,15:00.0,15:00.0,7/18/2023
10503430,1/1/2023,15:00.0,00:00.0,1/1/2023
10506871,7/6/2022,30:00.0,30:00.0,7/6/2022
10507366,6/11/2023,30:00.0,00:00.0,0001-01-01
10509040,9/29/2022,00:00.0,00:00.0,9/30/2022
10509134,7/31/2023,45:00.0,00:00.0,0001-01-01
10509965,1/28/2023,30:00.0,45:00.0,1/29/2023
10516583,0001-01-01,00:00.0,00:00.0,0001-01-01
10521062,2/20/2022,00:00.0,15:00.0,2/20/2022
10524592,0001-01-01,00:00.0,00:00.0,0001-01-01
10525039,2/12/2022,45:00.0,45:00.0,2/14/2022
10525272,4/3/2022,30:00.0,45:00.0,4/4/2022
10527303,6/12/2024,45:00.0,15:00.0,6/14/2024
10532310,3/13/2023,45:00.0,30:00.0,3/14/2023
10533881,11/10/2022,00:00.0,00:00.0,11/12/2022
10545908,12/21/2023,15:00.0,15:00.0,12/22/2023
10551617,4/4/2023,00:00.0,45:00.0,4/6/2023
10553491,1/4/2022,30:00.0,30:00.0,1/4/2022
10570202,7/26/2023,15:00.0,00:00.0,7/26/2023
10571318,6/9/2022,45:00.0,45:00.0,6/11/2022
10571999,7/17/2023,15:00.0,30:00.0,7/19/2023
10572829,6/5/2023,15:00.0,00:00.0,0001-01-01
10573904,8/18/2022,00:00.0,15:00.0,8/20/2022
10574350,4/8/2023,45:00.0,00:00.0,0001-01-01
10575014,3/7/2023,15:00.0,00:00.0,3/8/2023
10575125,8/21/2022,45:00.0,45:00.0,8/23/2022
10576371,8/20/2023,15:00.0,45:00.0,8/22/2023
10577198,5/9/2022,30:00.0,00:00.0,5/11/2022
10577326,8/11/2022,45:00.0,15:00.0,8/12/2022
10578075,10/26/2022,45:00.0,45:00.0,10/27/2022
10578957,3/19/2022,15:00.0,15:00.0,3/20/2022
10580409,8/4/2023,45:00.0,00:00.0,0001-01-01
10582186,9/17/2022,30:00.0,15:00.0,9/19/2022
10583081,5/21/2022,00:00.0,30:00.0,5/21/2022
10586267,2/3/2023,45:00.0,00:00.0,2/4/2023
10586580,4/7/2023,30:00.0,45:00.0,4/7/2023
10586896,11/28/2023,30:00.0,00:00.0,0001-01-01
10587760,0001-01-01,00:00.0,00:00.0,0001-01-01
10592144,3/23/2023,15:00.0,30:00.0,3/23/2023
10594718,11/2/2023,15:00.0,30:00.0,11/2/2023
10601091,9/22/2022,00:00.0,00:00.0,9/23/2022
10602514,10/17/2022,45:00.0,30:00.0,10/19/2022
10603962,6/29/2022,45:00.0,45:00.0,6/29/2022
10605180,2/16/2022,45:00.0,00:00.0,2/18/2022
10605250,12/2/2023,15:00.0,00:00.0,12/4/2023
10607098,2/26/2024,15:00.0,30:00.0,2/26/2024
10607151,12/4/2023,00:00.0,00:00.0,12/4/2023
10612649,0001-01-01,00:00.0,00:00.0,0001-01-01
10612742,10/16/2022,30:00.0,00:00.0,10/17/2022
10613380,1/30/2023,30:00.0,45:00.0,2/1/2023
10614102,9/17/2023,45:00.0,00:00.0,9/18/2023
10625592,2/15/2022,15:00.0,00:00.0,2/16/2022
10626634,4/30/2022,15:00.0,45:00.0,5/1/2022
10626681,11/29/2024,30:00.0,00:00.0,0001-01-01
10631827,10/5/2022,30:00.0,45:00.0,10/7/2022
10632635,11/29/2022,00:00.0,15:00.0,11/30/2022
10637150,0001-01-01,00:00.0,00:00.0,0001-01-01
10639392,3/23/2023,15:00.0,00:00.0,0001-01-01
10639741,0001-01-01,00:00.0,00:00.0,0001-01-01
10639872,9/5/2023,30:00.0,00:00.0,9/6/2023
10644042,6/5/2023,45:00.0,00:00.0,0001-01-01
10644252,0001-01-01,00:00.0,00:00.0,0001-01-01
10645951,0001-01-01,00:00.0,00:00.0,0001-01-01
10653733,0001-01-01,00:00.0,00:00.0,0001-01-01
10653759,10/30/2023,45:00.0,00:00.0,0001-01-01
10655679,2/12/2023,15:00.0,15:00.0,2/14/2023
10655788,4/14/2023,45:00.0,00:00.0,0001-01-01
10658013,12/18/2023,45:00.0,45:00.0,12/18/2023
10659287,7/7/2023,30:00.0,30:00.0,7/8/2023
10659341,0001-01-01,00:00.0,00:00.0,0001-01-01
10663677,0001-01-01,00:00.0,00:00.0,0001-01-01
10663960,0001-01-01,00:00.0,00:00.0,0001-01-01
10664287,9/12/2023,30:00.0,00:00.0,0001-01-01
10667294,12/14/2024,00:00.0,45:00.0,12/15/2024
10675093,11/30/2022,45:00.0,15:00.0,11/30/2022
10677408,5/7/2022,00:00.0,30:00.0,5/7/2022
10679379,5/3/2023,45:00.0,15:00.0,5/5/2023
10682953,10/22/2024,00:00.0,00:00.0,10/23/2024
10683656,3/11/2023,30:00.0,00:00.0,0001-01-01
10690967,7/17/2023,15:00.0,30:00.0,7/19/2023
10691813,7/14/2022,15:00.0,00:00.0,7/15/2022
10692467,9/12/2023,00:00.0,45:00.0,9/12/2023
10711249,2/25/2023,15:00.0,00:00.0,0001-01-01
10713499,2/18/2022,00:00.0,45:00.0,2/19/2022
10714575,10/19/2022,15:00.0,00:00.0,10/20/2022
10717488,3/11/2023,00:00.0,00:00.0,3/12/2023
10719539,8/28/2022,15:00.0,00:00.0,8/28/2022
10722347,3/19/2022,00:00.0,45:00.0,3/21/2022
10730396,0001-01-01,00:00.0,00:00.0,0001-01-01
10730722,1/15/2024,00:00.0,00:00.0,0001-01-01
10730778,3/31/2023,30:00.0,15:00.0,4/2/2023
10733014,2/2/2023,00:00.0,45:00.0,2/3/2023
10734097,11/29/2024,15:00.0,15:00.0,11/29/2024
10738103,0001-01-01,00:00.0,00:00.0,0001-01-01
10741133,5/5/2022,15:00.0,15:00.0,5/7/2022
10743465,8/6/2023,45:00.0,00:00.0,8/7/2023
10747553,1/5/2023,00:00.0,15:00.0,1/6/2023
10747830,10/29/2023,00:00.0,00:00.0,0001-01-01
10748340,6/28/2023,00:00.0,15:00.0,6/28/2023
10757677,1/27/2022,00:00.0,00:00.0,1/27/2022
10762007,2/12/2023,30:00.0,30:00.0,2/14/2023
10762307,0001-01-01,00:00.0,00:00.0,0001-01-01
10763139,2/2/2022,45:00.0,00:00.0,2/2/2022
10764034,9/2/2023,15:00.0,15:00.0,9/2/2023
10767842,12/25/2023,30:00.0,00:00.0,0001-01-01
10768339,0001-01-01,00:00.0,00:00.0,0001-01-01
10768681,6/10/2023,30:00.0,15:00.0,6/12/2023
10770682,7/3/2023,45:00.0,00:00.0,0001-01-01
10773834,12/16/2023,00:00.0,30:00.0,12/17/2023
10779279,11/20/2023,15:00.0,00:00.0,0001-01-01
10779628,0001-01-01,00:00.0,00:00.0,0001-01-01
10779834,0001-01-01,00:00.0,00:00.0,0001-01-01
10784780,1/24/2023,30:00.0,00:00.0,1/26/2023
10789557,12/30/2022,00:00.0,15:00.0,12/30/2022
10791740,5/7/2023,15:00.0,30:00.0,5/7/2023
10792100,6/5/2024,30:00.0,00:00.0,6/6/2024
10792239,1/9/2022,45:00.0,30:00.0,1/10/2022
10792403,1/8/2024,15:00.0,00:00.0,0001-01-01
10796939,11/19/2022,15:00.0,15:00.0,11/19/2022
10808854,0001-01-01,00:00.0,00:00.0,0001-01-01
10813932,6/16/2022,30:00.0,15:00.0,6/16/2022
10814861,6/14/2023,45:00.0,00:00.0,0001-01-01
10817357,8/10/2022,00:00.0,15:00.0,8/11/2022
10819505,0001-01-01,00:00.0,00:00.0,0001-01-01
10822385,3/2/2023,30:00.0,00:00.0,0001-01-01
10822924,0001-01-01,00:00.0,00:00.0,0001-01-01
10823039,9/10/2022,00:00.0,15:00.0,9/11/2022
10826216,8/21/2022,30:00.0,00:00.0,8/22/2022
10833667,0001-01-01,00:00.0,00:00.0,0001-01-01
10835120,2/28/2024,15:00.0,30:00.0,2/28/2024
10838457,1/27/2024,45:00.0,00:00.0,0001-01-01
10841472,0001-01-01,00:00.0,00:00.0,0001-01-01
10842074,12/21/2022,45:00.0,15:00.0,12/23/2022
10845735,2/10/2023,15:00.0,15:00.0,2/12/2023
10846190,3/18/2022,45:00.0,45:00.0,3/18/2022
10847304,7/19/2022,00:00.0,15:00.0,7/21/2022
10851257,3/11/2022,30:00.0,00:00.0,3/11/2022
10852226,2/7/2024,30:00.0,00:00.0,0001-01-01
10852813,7/19/2023,00:00.0,30:00.0,7/20/2023
10856822,0001-01-01,00:00.0,00:00.0,0001-01-01
10858472,4/19/2023,15:00.0,00:00.0,0001-01-01
10859143,5/9/2023,15:00.0,00:00.0,5/10/2023
10861645,11/16/2022,30:00.0,00:00.0,11/16/2022
10865811,1/12/2022,45:00.0,45:00.0,1/12/2022
10867056,11/13/2024,00:00.0,00:00.0,0001-01-01
10867233,0001-01-01,00:00.0,00:00.0,0001-01-01
10868817,2/12/2024,45:00.0,30:00.0,2/14/2024
10872248,3/8/2023,30:00.0,00:00.0,3/8/2023
10881835,10/9/2022,45:00.0,30:00.0,10/9/2022
10884169,0001-01-01,00:00.0,00:00.0,0001-01-01
10884189,4/19/2023,15:00.0,00:00.0,4/21/2023
10885420,10/14/2023,30:00.0,45:00.0,10/14/2023
10888112,0001-01-01,00:00.0,00:00.0,0001-01-01
10889695,0001-01-01,00:00.0,00:00.0,0001-01-01
10889761,8/16/2022,30:00.0,45:00.0,8/18/2022
10889793,3/22/2023,15:00.0,45:00.0,3/24/2023
10894575,3/29/2023,30:00.0,30:00.0,3/30/2023
10897001,8/5/2023,30:00.0,45:00.0,8/6/2023
10898691,0001-01-01,00:00.0,00:00.0,0001-01-01
10900128,0001-01-01,00:00.0,00:00.0,0001-01-01
10902958,5/29/2024,30:00.0,00:00.0,0001-01-01
10906671,0001-01-01,00:00.0,00:00.0,0001-01-01
10908300,8/17/2022,00:00.0,15:00.0,8/17/2022
10909370,8/8/2023,00:00.0,15:00.0,8/10/2023
10917585,6/24/2022,30:00.0,00:00.0,6/25/2022
10918529,0001-01-01,00:00.0,00:00.0,0001-01-01
10921962,3/8/2022,30:00.0,45:00.0,3/9/2022
10923377,2/24/2024,30:00.0,00:00.0,0001-01-01
10923862,0001-01-01,00:00.0,00:00.0,0001-01-01
10924446,0001-01-01,00:00.0,00:00.0,0001-01-01
10925591,10/11/2023,45:00.0,00:00.0,0001-01-01
10925601,0001-01-01,00:00.0,00:00.0,0001-01-01
10926856,9/20/2022,45:00.0,00:00.0,9/21/2022
10935138,0001-01-01,00:00.0,00:00.0,0001-01-01
10936049,1/24/2022,15:00.0,15:00.0,1/26/2022
10937251,1/17/2022,45:00.0,15:00.0,1/19/2022
10938593,0001-01-01,00:00.0,00:00.0,0001-01-01
10939720,10/11/2022,15:00.0,30:00.0,10/11/2022
10940923,0001-01-01,00:00.0,00:00.0,0001-01-01
10941440,5/18/2023,30:00.0,00:00.0,0001-01-01
10942255,5/28/2023,30:00.0,00:00.0,0001-01-01
10943881,7/19/2022,00:00.0,30:00.0,7/20/2022
10945273,8/20/2022,30:00.0,45:00.0,8/20/2022
10945339,10/23/2022,00:00.0,15:00.0,10/24/2022
10951333,3/14/2022,30:00.0,45:00.0,3/15/2022
10953635,7/5/2022,45:00.0,30:00.0,7/7/2022
10954878,8/31/2022,00:00.0,45:00.0,8/31/2022
10955005,4/22/2023,15:00.0,00:00.0,0001-01-01
10957697,7/21/2022,00:00.0,00:00.0,7/22/2022
10959112,1/5/2022,30:00.0,00:00.0,1/7/2022
10965138,1/4/2022,30:00.0,15:00.0,1/4/2022
10965569,7/21/2023,15:00.0,00:00.0,0001-01-01
10967131,0001-01-01,00:00.0,00:00.0,0001-01-01
10968781,8/6/2022,45:00.0,00:00.0,8/7/2022
10969411,0001-01-01,00:00.0,00:00.0,0001-01-01
10969945,3/27/2022,45:00.0,00:00.0,3/29/2022
10971584,10/9/2022,30:00.0,45:00.0,10/10/2022
10976029,1/6/2024,15:00.0,00:00.0,0001-01-01
10978481,1/14/2022,00:00.0,00:00.0,1/16/2022
10978598,0001-01-01,00:00.0,00:00.0,0001-01-01
10978632,9/24/2022,15:00.0,15:00.0,9/25/2022
10983894,2/25/2022,15:00.0,30:00.0,2/25/2022
10986174,1/3/2023,15:00.0,45:00.0,1/5/2023
10986492,1/19/2023,45:00.0,30:00.0,1/19/2023
10989199,5/23/2024,15:00.0,15:00.0,5/24/2024
10990439,0001-01-01,00:00.0,00:00.0,0001-01-01
10992437,1/20/2023,30:00.0,45:00.0,1/21/2023
10994315,6/14/2023,00:00.0,30:00.0,6/14/2023
10995926,2/23/2024,15:00.0,00:00.0,2/25/2024
10996386,3/8/2022,00:00.0,30:00.0,3/8/2022
10998046,9/3/2023,15:00.0,00:00.0,9/4/2023
10998405,10/29/2022,15:00.0,15:00.0,10/29/2022
10998547,3/15/2022,15:00.0,15:00.0,3/15/2022
10999023,0001-01-01,00:00.0,00:00.0,0001-01-01
10999266,0001-01-01,00:00.0,00:00.0,0001-01-01
11016358,12/6/2024,15:00.0,00:00.0,0001-01-01
11020367,10/22/2024,45:00.0,00:00.0,10/24/2024
11020743,1/25/2024,15:00.0,30:00.0,1/26/2024
11023114,0001-01-01,00:00.0,00:00.0,0001-01-01
11026216,0001-01-01,00:00.0,00:00.0,0001-01-01
11027542,9/9/2024,00:00.0,15:00.0,9/11/2024
11030344,2/13/2022,30:00.0,15:00.0,2/14/2022
11030568,0001-01-01,00:00.0,00:00.0,0001-01-01
11031743,6/5/2022,15:00.0,30:00.0,6/5/2022
11032014,0001-01-01,00:00.0,00:00.0,0001-01-01
11033963,10/29/2022,30:00.0,30:00.0,10/31/2022
11037500,0001-01-01,00:00.0,00:00.0,0001-01-01
11040697,7/7/2023,30:00.0,00:00.0,7/9/2023
11044012,8/29/2024,15:00.0,00:00.0,8/30/2024
11044013,11/12/2022,15:00.0,45:00.0,11/14/2022
11044716,7/18/2022,45:00.0,00:00.0,7/20/2022
11045104,0001-01-01,00:00.0,00:00.0,0001-01-01
11045129,0001-01-01,00:00.0,00:00.0,0001-01-01
11047114,6/1/2022,00:00.0,45:00.0,6/3/2022
11049999,5/16/2022,45:00.0,30:00.0,5/18/2022
11051570,0001-01-01,00:00.0,00:00.0,0001-01-01
11052488,3/2/2023,30:00.0,00:00.0,0001-01-01
11055199,2/19/2022,30:00.0,30:00.0,2/20/2022
11056294,1/27/2022,45:00.0,45:00.0,1/29/2022
11056868,4/22/2023,15:00.0,45:00.0,4/22/2023
11060092,9/22/2023,30:00.0,30:00.0,9/24/2023
11060515,3/31/2022,45:00.0,15:00.0,4/2/2022
11060619,4/11/2023,00:00.0,45:00.0,4/11/2023
11063355,3/12/2023,45:00.0,15:00.0,3/13/2023
11067974,10/1/2023,00:00.0,30:00.0,10/2/2023
11069604,8/4/2023,00:00.0,45:00.0,8/5/2023
11070533,0001-01-01,00:00.0,00:00.0,0001-01-01
11071642,7/10/2022,00:00.0,00:00.0,7/10/2022
11072192,1/14/2022,00:00.0,45:00.0,1/14/2022
11075142,3/1/2023,45:00.0,30:00.0,3/2/2023
11080445,0001-01-01,00:00.0,00:00.0,0001-01-01
11084726,4/18/2023,45:00.0,30:00.0,4/18/2023
11088057,9/28/2022,00:00.0,30:00.0,9/29/2022
11089156,3/2/2023,45:00.0,15:00.0,3/3/2023
11089461,11/12/2023,15:00.0,30:00.0,11/13/2023
11095361,12/24/2023,45:00.0,30:00.0,12/25/2023
11102539,3/21/2023,00:00.0,00:00.0,3/23/2023
11107926,1/29/2024,45:00.0,15:00.0,1/30/2024
11112124,0001-01-01,00:00.0,00:00.0,0001-01-01
11116303,3/8/2023,45:00.0,45:00.0,3/10/2023
11118688,0001-01-01,00:00.0,00:00.0,0001-01-01
