Spare_Part,Unit_Price,Vendor_Code
sp1136,1742.33,1157
sp1137,1262.27,1296
sp1138,511.44,1023
sp1139,1936.2,1259
sp114,618.09,1061
sp1140,188.91,1037
sp1141,2263.72,1180
sp1142,723.89,1273
sp1143,1317.51,1285
sp1144,1088.6,1229
sp1145,1173.15,1144
sp1146,2192.63,1289
sp1147,2352.82,1084
sp1148,1746.02,1150
sp1149,346.38,1038
sp115,2746.62,1053
sp1150,252.57,1284
sp1151,556.49,1110
sp1152,1891.73,1021
sp1153,2054.51,1123
sp1154,889.1,1208
sp1155,2019.62,1157
sp1156,1508.42,1141
sp1157,1381.93,1261
sp1158,892.18,1153
sp1159,2289.34,1039
sp116,2624.5,1210
sp1160,430.07,1177
sp1161,1346.75,1190
sp1162,921.41,1074
sp1163,2067.61,1094
sp1164,1511.23,1232
sp1165,2034.68,1188
sp1166,231.71,1210
sp1167,1246.26,1193
sp1168,1838.04,1062
sp1169,122.29,1219
sp117,965.49,1031
sp1170,974.12,1084
sp1171,712.58,1210
sp1172,497.98,1291
sp1173,841.01,1128
sp1174,1051.55,1196
sp1175,122.42,1218
sp1176,2266.34,1177
sp1177,609.51,1235
sp1178,1202.6,1100
sp1179,2140.65,1026
sp118,1952.95,1246
sp1180,1550.76,1010
sp1181,2516.73,1071
sp1182,2437.98,1233
sp1183,309.02,1130
sp1184,2599.12,1071
sp1185,222.68,1050
sp1186,154.35,1029
sp1187,2771.37,1298
sp1188,2600.12,1262
sp1189,1769.7,1002
sp119,1866.01,1178
sp1190,1762.86,1216
sp1191,2157.55,1066
sp1192,1311.31,1161
sp1193,434,1266
sp1194,160.48,1162
sp1195,1041.83,1013
sp1196,2423.83,1204
sp1197,1892.56,1250
sp1198,2512.88,1068
sp1199,2767.33,1210
sp12,1565.53,1060
sp120,543.23,1196
sp1200,355.58,1081
sp1201,2549,1257
sp1202,805.62,1055
sp1203,1807.73,1083
sp1204,1619.49,1217
sp1205,1247.72,1038
sp1206,999.8,1108
sp1207,1084.59,1016
sp1208,1065.9,1140
sp1209,587.58,1237
sp121,2311.28,1153
sp1210,1580.4,1087
sp1211,430.68,1188
sp1212,1578.86,1062
sp1213,2727.18,1051
sp1214,1113.19,1155
sp1215,2209.4,1219
sp1216,2474.95,1156
sp1217,2463.61,1221
sp1218,785.18,1296
sp1219,524.69,1266
sp122,1664.2,1164
sp1220,672.09,1216
sp1221,1846.96,1278
sp1222,2304.62,1269
sp1223,2000.98,1225
sp1224,613.72,1300
sp1225,2341.26,1236
sp1226,1532.94,1105
sp1227,2287.89,1013
sp1228,2303.64,1281
sp1229,1401.83,1006
sp123,2358.02,1242
sp1230,2780.05,1181
sp1231,1737.03,1024
sp1232,1942.37,1202
sp1233,1911.11,1078
sp1234,2606.32,1229
sp1235,1918.93,1088
sp1236,537.78,1204
sp1237,298.03,1041
sp1238,1382.4,1158
sp1239,978.18,1039
sp124,1638.03,1164
sp1240,896.55,1122
sp1241,262.9,1029
sp1242,1571.28,1210
sp1243,1000.18,1246
sp1244,1410.55,1067
sp1245,264.98,1066
sp1246,2511.92,1201
sp1247,322.52,1033
sp1248,2606.33,1050
sp1249,2580.35,1025
sp125,101.66,1284
sp1250,1883.52,1182
sp1251,1570.5,1252
sp1252,1441.86,1040
sp1253,1707.52,1144
sp1254,2396.27,1293
sp1255,2698.04,1105
sp1256,1404.23,1121
sp1257,2448.47,1262
sp1258,1990.33,1195
sp1259,1032.43,1047
sp126,1040.05,1149
sp1260,1479.32,1266
sp1261,537.5,1279
sp1262,279.43,1063
sp1263,400.16,1294
sp1264,2707.47,1014
sp1265,1095.97,1067
sp1266,2171.52,1136
sp1267,1563.19,1149
sp1268,600.42,1082
sp1269,818.46,1271
sp127,156.48,1143
sp1270,1369.5,1266
sp1271,1374.32,1229
sp1272,1615.97,1101
sp1273,560.36,1247
sp1274,1181.27,1098
sp1275,920.39,1049
sp1276,1285.43,1284
sp1277,1081.26,1133
sp1278,1833.87,1283
sp1279,2388.76,1223
sp128,2794.39,1058
sp1280,1977.19,1088
sp1281,291.14,1005
sp1282,374.07,1293
sp1283,2067.3,1171
sp1284,924.03,1209
sp1285,2198.83,1181
sp1286,2004.04,1272
sp1287,2728.39,1182
sp1288,2632.51,1192
sp1289,1066.75,1095
sp129,2648.29,1280
sp1290,1789.94,1111
sp1291,510.14,1231
sp1292,1114.48,1127
sp1293,2906.32,1137
sp1294,2125.59,1216
sp1295,1236.68,1017
sp1296,1825.62,1233
sp1297,2820.21,1119
sp1298,997.79,1127
sp1299,1192.37,1053
sp13,176.95,1114
sp130,2511.83,1197
sp1300,2395.82,1170
sp1301,2458.24,1265
sp1302,2043.34,1121
sp1303,2503.98,1007
sp1304,2242.45,1151
sp1305,2087.7,1056
sp1306,1626.54,1163
sp1307,1973.47,1287
sp1308,1327.88,1181
sp1309,1149.3,1034
sp131,991.79,1160
sp1310,1151.53,1112
sp1311,622.76,1057
sp1312,721.16,1139
sp1313,2848.24,1043
sp1314,1510.19,1123
sp1315,756.97,1160
sp1316,498.94,1106
sp1317,323.78,1182
sp1318,2548.84,1119
sp1319,393.31,1281
sp132,267.98,1062
sp1320,2335.54,1017
sp1321,2521.85,1263
sp1322,2662.68,1293
sp1323,209.47,1122
sp1324,1076.62,1123
sp1325,2322.29,1167
sp1326,480.04,1117
sp1327,1192.49,1200
sp1328,570.52,1136
sp1329,2510.9,1125
sp133,2646.23,1184
sp1330,2336.18,1199
sp1331,2446.23,1181
sp1332,580.06,1215
sp1333,1369.25,1049
sp1334,1291.49,1007
sp1335,2061.45,1062
sp1336,788.84,1230
sp1337,1388.18,1267
sp1338,926.29,1134
sp1339,2270.76,1048
sp134,2846.15,1051
sp1340,1401.89,1270
sp1341,1648.63,1092
sp1342,997.46,1109
sp1343,2445.01,1093
sp1344,1460.15,1001
sp1345,2521.83,1230
sp1346,1166.74,1218
sp1347,2846.68,1228
sp1348,2954.88,1042
sp1349,1438.87,1085
sp135,348.4,1185
sp1350,917.14,1049
sp1351,1207.43,1288
sp1352,1629.63,1029
sp1353,2902.18,1166
sp1354,2468.98,1042
sp1355,2423.65,1037
sp1356,501.36,1283
sp1357,825.01,1200
sp1358,1959.42,1272
sp1359,2634.94,1157
sp136,1509.37,1256
sp1360,1708.17,1225
sp1361,397.51,1263
sp1362,2553.09,1216
sp1363,2568.38,1158
sp1364,926.68,1229
sp1365,2313.04,1268
sp1366,891.09,1287
sp1367,2725.39,1048
sp1368,527.31,1259
sp1369,1368.67,1014
sp137,300.72,1104
sp1370,2844.6,1147
sp1371,743.91,1278
sp1372,1408.27,1139
sp1373,1113.8,1110
sp1374,177.34,1221
sp1375,254.44,1138
sp1376,1555.82,1053
sp1377,783.76,1149
sp1378,2984.12,1009
sp1379,1187.25,1257
sp138,2305.75,1179
sp1380,181.74,1054
sp1381,2799.4,1178
sp1382,2533.61,1139
sp1383,1984.89,1106
sp1384,2395,1261
sp1385,499.04,1146
sp1386,931.95,1103
sp1387,2506.31,1280
sp1388,2118.61,1246
sp1389,502.5,1098
sp139,2320.92,1129
sp1390,2146.05,1264
sp1391,1400.94,1126
sp1392,115.23,1091
sp1393,329.75,1037
sp1394,842.18,1105
sp1395,2521.39,1288
sp1396,1691.53,1226
sp1397,2208.98,1131
sp1398,1630.54,1101
sp1399,422.44,1288
sp14,676.63,1230
sp140,472.34,1087
sp1400,935.49,1059
sp1401,973.34,1216
sp1402,238.47,1032
sp1403,1317.49,1294
sp1404,2402.31,1083
sp1405,1425.63,1234
sp1406,421.49,1112
sp1407,2724.93,1166
sp1408,1830.54,1021
sp1409,147.66,1080
sp141,1478.32,1228
sp1410,1594.59,1071
sp1411,801.62,1258
sp1412,516.37,1072
sp1413,1344.79,1067
sp1414,1882.95,1229
sp1415,797.64,1184
sp1416,1308.05,1110
sp1417,2026.68,1203
sp1418,348.28,1284
sp1419,2926.5,1177
sp142,1694.43,1171
sp1420,296.27,1279
sp1421,1625.57,1086
sp1422,1571.25,1171
sp1423,2966.16,1241
sp1424,1707.04,1103
sp1425,1232.32,1134
sp1426,1463.39,1103
sp1427,1943.45,1289
sp1428,2945.01,1221
sp1429,835.59,1294
sp143,868.66,1106
sp1430,147.1,1112
sp1431,2386.71,1093
sp1432,1099.93,1067
sp1433,2225.53,1163
sp1434,1921.95,1107
sp1435,2337.35,1039
sp1436,2232.04,1159
sp1437,1064.3,1155
sp1438,228.57,1199
sp1439,1683.44,1260
sp144,2630.06,1043
sp1440,2459.18,1172
sp1441,607.76,1151
sp1442,2359.51,1213
sp1443,1447.41,1192
sp1444,2116.63,1009
sp1445,1932.03,1234
sp1446,2453.34,1223
sp1447,282.99,1001
sp1448,2350.95,1019
sp1449,1427.27,1209
sp145,1327.1,1277
sp1450,950.98,1093
sp1451,227.04,1144
sp1452,678.46,1002
sp1453,221.53,1166
sp1454,2806.78,1163
sp1455,1594.61,1297
sp1456,2968.46,1051
sp1457,1674.79,1114
sp1458,834.61,1287
sp1459,2284.54,1144
sp146,714.21,1293
sp1460,654.2,1227
sp1461,1135.23,1082
sp1462,2364.44,1195
sp1463,2610.82,1221
sp1464,1062.58,1287
sp1465,460.98,1212
sp1466,1167.26,1012
sp1467,2679.51,1111
sp1468,2255.59,1163
sp1469,2694.45,1127
sp147,1663.96,1040
sp1470,1221.27,1202
sp1471,2923.8,1025
sp1472,1538.99,1004
sp1473,1542.82,1189
sp1474,2780.5,1243
sp1475,1605.9,1091
sp1476,2423.33,1300
sp1477,2208.54,1258
sp1478,328.89,1142
sp1479,1847.11,1240
sp148,2216.8,1179
sp1480,2484.79,1165
sp1481,1681.88,1156
sp1482,1031.51,1062
sp1483,332.2,1076
sp1484,2016.67,1239
sp1485,988.84,1028
sp1486,1847.6,1039
sp1487,1335.74,1229
sp1488,2100.32,1043
sp1489,1119.49,1178
sp149,683.34,1063
sp1490,222.83,1103
sp1491,2623.11,1028
sp1492,1122.42,1293
sp1493,2994.64,1063
sp1494,896.21,1240
sp1495,2942.08,1174
sp1496,2848.92,1217
sp1497,317.62,1026
sp1498,1948.79,1010
sp1499,1153.6,1143
sp15,1984.66,1006
sp150,1003.98,1299
sp1500,2423.18,1121
sp1501,2070.29,1109
sp1502,2863.09,1104
sp1503,514.06,1188
sp1504,1861.96,1266
sp1505,2365.8,1193
sp1506,200.92,1298
sp1507,294.98,1163
sp1508,2357.69,1063
sp1509,1162.35,1186
sp151,2985.93,1284
sp1510,1210.28,1229
sp1511,1745.01,1289
sp1512,1854.78,1071
sp1513,2069.28,1129
sp1514,2851.59,1224
sp1515,1178.84,1241
sp1516,2312.94,1259
sp1517,1764.37,1078
sp1518,1635.43,1023
sp1519,1254.3,1139
sp152,1984.65,1256
sp1520,1983.73,1135
sp1521,823.87,1069
sp1522,429,1085
sp1523,2233.46,1056
sp1524,1547.23,1236
sp1525,1222.26,1269
sp1526,1728.85,1272
sp1527,859.15,1284
sp1528,854.84,1068
sp1529,1394.19,1065
sp153,1370.49,1202
sp1530,2989.46,1165
sp1531,928.17,1202
sp1532,2757.79,1060
sp1533,1524.48,1104
sp1534,455.65,1275
sp1535,2573.2,1111
sp1536,1410.92,1146
sp1537,2706.17,1095
sp1538,1390.82,1128
sp1539,354.59,1227
sp154,1600.97,1183
sp1540,2077.59,1133
sp1541,2552.01,1212
sp1542,1026.8,1045
sp1543,1107.53,1210
sp1544,288.32,1225
sp1545,1672.3,1161
sp1546,2684.86,1103
sp1547,2568.95,1206
sp1548,2164.25,1031
sp1549,2789.24,1072
sp155,450.91,1293
sp1550,1949.33,1183
sp1551,2401.72,1181
sp1552,1575.39,1100
sp1553,451.95,1141
sp1554,682.84,1151
sp1555,502.74,1078
sp1556,2392.08,1107
sp1557,176.22,1092
sp1558,1706.66,1142
sp1559,1169.84,1115
sp156,751.62,1220
sp1560,2430.62,1125
sp1561,1699.78,1296
sp1562,1874.65,1294
sp1563,350.02,1129
sp1564,996.94,1203
sp1565,2998.83,1156
sp1566,2184.72,1233
sp1567,1624.52,1209
sp1568,2330.58,1050
sp1569,2487.68,1112
sp157,1080.45,1250
sp1570,313.88,1212
sp1571,2919.9,1158
sp1572,1962.78,1130
sp1573,1404.93,1212
sp1574,2072.32,1223
sp1575,1099.09,1142
sp1576,2646.08,1109
sp1577,2362.76,1145
sp1578,1955.4,1122
sp1579,627.69,1237
sp158,1806.1,1114
sp1580,2902.17,1119
sp1581,1354.59,1100
sp1582,2741.07,1208
sp1583,260.7,1291
sp1584,460.07,1023
sp1585,543.74,1133
sp1586,577.51,1066
sp1587,1035.72,1047
sp1588,2157.06,1271
sp1589,1103.47,1142
sp159,767.33,1232
sp1590,2828.62,1111
sp1591,2695.29,1078
sp1592,2553.21,1199
sp1593,826.76,1044
sp1594,1941.67,1162
sp1595,1697.44,1260
sp1596,462.99,1135
sp1597,978.19,1094
sp1598,1647.09,1283
sp1599,1557.46,1100
sp16,1680.33,1067
sp160,738.63,1240
sp1600,589.04,1122
sp1601,2830.66,1021
sp1602,547.16,1108
sp1603,2010.33,1166
sp1604,2189.84,1048
sp1605,1854.9,1207
sp1606,2543.34,1159
sp1607,1734.49,1219
sp1608,2493.19,1268
sp1609,182.28,1155
sp161,305.88,1188
sp1610,231.84,1177
sp1611,1960.22,1175
sp1612,1772.64,1225
sp1613,1988.28,1074
sp1614,2324.18,1255
sp1615,1308.1,1292
sp1616,1953.07,1207
sp1617,1544.31,1133
sp1618,1918.78,1223
sp1619,940.05,1215
sp162,1930.2,1163
sp1620,2874.29,1279
sp1621,1500.54,1287
sp1622,2433.6,1236
sp1623,2086.47,1119
sp1624,962.56,1278
sp1625,311.62,1193
sp1626,273.75,1023
sp1627,1374.86,1244
sp1628,1504.33,1202
sp1629,691.67,1108
sp163,763.93,1047
sp1630,1859.31,1153
sp1631,1006.49,1237
sp1632,2183.25,1030
sp1633,2229.18,1065
sp1634,2596.25,1027
sp1635,2928.58,1086
sp1636,479.22,1152
sp1637,1174.57,1266
sp1638,1728.79,1114
sp1639,1025.44,1238
sp164,2725.72,1087
sp1640,1452.77,1272
sp1641,875.67,1213
sp1642,818.96,1029
sp1643,380.75,1140
sp1644,941.61,1076
sp1645,1214.03,1136
sp1646,1884.59,1291
sp1647,819.98,1242
sp1648,2609.39,1087
sp1649,563.13,1082
sp165,2592.94,1123
sp1650,1049.56,1187
sp1651,1775.29,1108
sp1652,1006.87,1223
sp1653,2313.05,1065
sp1654,1544.97,1237
sp1655,1592.7,1002
sp1656,1546.4,1271
sp1657,994.77,1100
sp1658,167.21,1152
sp1659,2841.18,1158
sp166,305.49,1010
sp1660,1565.79,1293
sp1661,2903.39,1245
sp1662,723.92,1171
sp1663,1123.4,1109
sp1664,246.57,1152
sp1665,1535.19,1216
sp1666,2658.78,1024
sp1667,1997.35,1091
sp1668,1464.7,1098
sp1669,1656.4,1137
sp167,790.21,1028
sp1670,2556.8,1294
sp1671,1349.69,1253
sp1672,2659.12,1167
sp1673,2209.77,1096
sp1674,2315.18,1046
sp1675,1161.22,1162
sp1676,1261.69,1211
sp1677,1753.82,1049
sp1678,664.5,1114
sp1679,1704.35,1000
sp168,2040.04,1173
sp1680,313.24,1262
sp1681,1562.34,1290
sp1682,2316.77,1162
sp1683,911.19,1201
sp1684,2968.36,1205
sp1685,2073.16,1221
sp1686,444.55,1086
sp1687,2927.74,1030
sp1688,1242.32,1207
sp1689,2405.2,1216
sp169,721.29,1206
sp1690,1083.35,1028
sp1691,2822.95,1248
sp1692,2289.4,1001
sp1693,677.27,1115
sp1694,1576.46,1204
sp1695,1550.23,1172
sp1696,231.38,1198
sp1697,497.41,1006
sp1698,1065.82,1286
sp1699,1473.86,1024
sp17,739.28,1282
sp170,483.7,1275
sp1700,1425.27,1165
sp1701,1858.16,1166
sp1702,1594.97,1014
sp1703,1051.1,1271
sp1704,1877.9,1239
sp1705,571.26,1003
sp1706,2972.79,1279
sp1707,2244.03,1009
sp1708,967.78,1024
sp1709,1075.48,1122
sp171,2812.99,1296
sp1710,2502.04,1155
sp1711,1643.79,1027
sp1712,2155.35,1013
sp1713,969.39,1164
sp1714,2465.67,1174
sp1715,1168.24,1246
sp1716,2054.04,1221
sp1717,2941.7,1162
sp1718,1792.74,1198
sp1719,2410.59,1250
sp172,1756.02,1007
sp1720,2203.44,1125
sp1721,2095.33,1218
sp1722,177.28,1126
sp1723,1476.31,1242
sp1724,2904.51,1014
sp1725,2370.42,1212
sp1726,2350.87,1023
sp1727,1775.14,1013
sp1728,2192.06,1123
sp1729,1792.22,1114
sp173,1470.75,1028
sp1730,594.48,1154
sp1731,1924.17,1235
sp1732,1897.23,1145
sp1733,2539.38,1113
sp1734,528.55,1078
sp1735,2074.11,1171
sp1736,191.55,1215
sp1737,2849.79,1166
sp1738,418.7,1255
sp1739,154.92,1152
sp174,2375.4,1200
sp1740,1009.71,1209
sp1741,539.15,1220
sp1742,2102.45,1293
sp1743,1290.09,1243
sp1744,2347.42,1289
sp1745,2769.51,1272
sp1746,2631.17,1069
sp1747,2233.93,1291
sp1748,280.62,1170
sp1749,500.44,1297
sp175,2441.74,1277
sp1750,701.29,1235
sp1751,1042.64,1042
sp1752,2020.46,1069
sp1753,1623.88,1300
sp1754,1009.88,1006
sp1755,602.23,1155
sp1756,2745.16,1270
sp1757,1092.75,1003
sp1758,1127.43,1100
sp1759,2338.77,1228
sp176,652.19,1038
sp1760,2190.68,1096
sp1761,1965.6,1014
sp1762,2110.61,1095
sp1763,1869.22,1144
sp1764,657.57,1031
sp1765,814.91,1294
sp1766,1718.45,1167
sp1767,752.11,1143
sp1768,2921.44,1160
sp1769,963.08,1169
sp177,381.1,1034
sp1770,938.11,1250
sp1771,701.11,1120
sp1772,2144.47,1282
sp1773,1019.42,1010
sp1774,1111.53,1283
sp1775,2807.73,1147
sp1776,2406.68,1052
sp1777,893.03,1039
sp1778,453.43,1243
sp1779,2062.2,1082
sp178,1350.05,1294
sp1780,1201.11,1201
sp1781,2942.47,1241
sp1782,2473.29,1203
sp1783,2868.37,1203
sp1784,2433.39,1223
sp1785,942.31,1270
sp1786,934.13,1153
sp1787,2171.01,1067
sp1788,1104.45,1240
sp1789,1382.89,1137
sp179,1328.38,1075
sp1790,843.69,1297
sp1791,1489.33,1218
sp1792,686,1040
sp1793,1661.88,1005
sp1794,2805.77,1012
sp1795,2118.9,1135
sp1796,498.09,1202
sp1797,1885.46,1068
sp1798,1801.81,1041
sp1799,803.13,1269
sp18,1808.87,1063
sp180,1454.37,1068
sp1800,2042.52,1287
sp1801,1640.02,1241
sp1802,1950.04,1275
sp1803,252.22,1091
sp1804,1298.57,1282
sp1805,2180.34,1059
sp1806,391.58,1057
sp1807,2335.22,1062
sp1808,115.03,1215
sp1809,1696.02,1127
sp181,2214.32,1240
sp1810,2794.39,1021
sp1811,1280.03,1173
sp1812,2811.59,1075
sp1813,2647.36,1002
sp1814,1484.6,1057
sp1815,678.42,1124
sp1816,2895.35,1024
sp1817,1031.39,1077
sp1818,1973.1,1276
sp1819,2733.02,1137
sp182,2052.76,1083
sp1820,359.44,1228
sp1821,1764.99,1213
sp1822,1651.94,1293
sp1823,2197.04,1153
sp1824,2816.34,1136
sp1825,2748.37,1207
sp1826,607.69,1107
sp1827,2658.51,1234
sp1828,609.79,1298
sp1829,2766.94,1123
sp183,2954.08,1103
sp1830,2991.8,1294
sp1831,1251.28,1293
sp1832,1536.61,1186
sp1833,2816.17,1079
sp1834,2890.18,1191
sp1835,2785.52,1256
sp1836,2642.56,1002
sp1837,126.87,1122
sp1838,1747.09,1033
sp1839,411.17,1130
sp184,385.41,1239
sp1840,2950.68,1083
sp1841,925.23,1276
sp1842,2968.39,1156
sp1843,1675.57,1134
sp1844,1532.35,1162
sp1845,2821.83,1007
sp1846,2568.07,1118
sp1847,1457.26,1014
sp1848,659.15,1289
sp1849,426.68,1022
sp185,1267.6,1093
sp1850,571.23,1174
sp1851,1430.85,1250
sp1852,846.07,1234
sp1853,639.98,1166
sp1854,2236.19,1057
sp1855,2393.23,1298
sp1856,1746.57,1231
sp1857,2296.12,1285
sp1858,608.94,1151
sp1859,2582.82,1041
sp186,1083.98,1251
sp1860,2701.42,1259
sp1861,2498.27,1257
sp1862,1594.31,1127
sp1863,351.54,1156
sp1864,2040.84,1213
sp1865,635.87,1229
sp1866,507.77,1260
sp1867,1038.44,1165
sp1868,819.34,1064
sp1869,856.28,1238
sp187,2598.85,1283
sp1870,783.01,1034
sp1871,2285.89,1001
sp1872,2866.7,1001
sp1873,975.64,1253
sp1874,2196.36,1254
sp1875,133.16,1201
sp1876,1995.68,1111
sp1877,2109.03,1254
sp1878,280.16,1110
sp1879,442.85,1064
sp188,821.1,1186
sp1880,989.74,1095
sp1881,1275.71,1154
sp1882,1557.31,1076
sp1883,2695.84,1188
sp1884,2140.32,1096
sp1885,1001.84,1000
sp1886,440.51,1038
sp1887,2756.78,1198
sp1888,955.61,1256
sp1889,1882.41,1287
sp189,651.61,1009
sp1890,735.47,1273
sp1891,487.35,1072
sp1892,544.24,1254
sp1893,2268.43,1170
sp1894,1856.64,1056
sp1895,1305.95,1165
sp1896,1692.78,1001
sp1897,1465.4,1213
sp1898,1658.8,1168
sp1899,2025.87,1038
sp19,2447.35,1269
sp190,1400.98,1052
sp1900,733.39,1271
sp1901,817.65,1234
sp1902,2288.74,1272
sp1903,2632.09,1053
sp1904,337.42,1051
sp1905,1395.57,1276
sp1906,2140.92,1071
sp1907,326.5,1084
sp1908,1736.09,1245
sp1909,279.1,1220
sp191,1323.46,1261
sp1910,1688.18,1275
sp1911,1565.91,1031
sp1912,1760.83,1207
sp1913,534.57,1186
sp1914,1051.54,1228
sp1915,1608.99,1123
sp1916,437.1,1170
sp1917,695.66,1033
sp1918,1791.13,1236
sp1919,363.73,1143
sp192,907.78,1206
sp1920,1580.09,1273
sp1921,2445.21,1263
sp1922,1414.95,1079
sp1923,1588.42,1069
sp1924,1424.72,1264
sp1925,267.44,1212
sp1926,1440.9,1260
sp1927,2440.05,1039
sp1928,2197.51,1115
sp1929,1248.25,1164
sp193,824.44,1055
sp1930,2467.71,1110
sp1931,2262.83,1041
sp1932,1777.1,1175
sp1933,231.34,1164
sp1934,1099.13,1165
sp1935,284.9,1069
sp1936,2982.96,1106
sp1937,2810.29,1197
sp1938,300.16,1246
sp1939,2807.95,1179
sp194,2777.47,1154
sp1940,192.03,1217
sp1941,1285.71,1008
sp1942,2330.02,1211
sp1943,2320.9,1112
sp1944,2937.17,1266
sp1945,1973.05,1073
sp1946,1319.05,1031
sp1947,2979.28,1263
sp1948,1209.19,1193
sp1949,2621.9,1144
sp195,1385.08,1142
sp1950,2729.63,1125
sp1951,1189.37,1092
sp1952,2079.92,1043
sp1953,2019.2,1243
sp1954,1663.97,1262
sp1955,1995.25,1189
sp1956,1108.53,1109
sp1957,617.57,1111
sp1958,1658.05,1126
sp1959,1633.64,1268
sp196,2597.91,1197
sp1960,2210.79,1267
sp1961,745.8,1239
sp1962,110.07,1225
sp1963,165.93,1016
sp1964,965.25,1024
sp1965,2053.15,1257
sp1966,1678.89,1031
sp1967,1642.61,1070
sp1968,2487.75,1196
sp1969,817.78,1226
sp197,1695.94,1223
sp1970,1103.86,1267
sp1971,899.38,1220
sp1972,2818.49,1229
sp1973,2202.57,1261
sp1974,427.25,1219
sp1975,2447.49,1040
sp1976,1315.8,1047
sp1977,2321.56,1060
sp1978,2662.89,1180
sp1979,145.37,1153
sp198,246.71,1003
sp1980,697.64,1135
sp1981,392.6,1184
sp1982,197.37,1161
sp1983,1833.58,1281
sp1984,2139.53,1060
sp1985,241.16,1111
sp1986,2247.57,1082
sp1987,1266.57,1082
sp1988,779.58,1243
sp1989,730.08,1267
sp199,2997.92,1007
sp1990,2604.82,1244
sp1991,263.69,1016
sp1992,1561.3,1105
sp1993,938.86,1070
sp1994,2465.78,1177
sp1995,2221.4,1049
sp1996,1024.82,1258
