Product,Year,Month,Supplying_Plant_Code,Channel,Sales_Office_ID,Invoice_No,Invoice_Date,Ship_to_Code_City,OBD_No,QTY,Sales_Value
WM-200D,2024,8/1/2024,859,MT,120,1004433,8/20/2024,Vasai,68287384,54,4569318
BakePro O3000,2024,8/1/2024,195,E-com,116,1004819,8/2/2024,Dumka,31131878,77,4631319
CleanAir-C100,2024,8/1/2024,854,E-com,115,1005932,8/20/2024,Bulandshahr,20048946,30,2798370
FreshBreeze-300,2023,6/1/2023,350,E-com,102,1006810,7/13/2023,Panposh,50785405,23,2812854
BakePro O3000,2022,3/1/2022,818,Normal Trade,109,1006984,5/18/2022,Gwalior,26212509,1,60147
TopCool R1000,2024,10/1/2024,854,Normal Trade,115,1007120,10/4/2024,Bahadurgarh,55866092,48,3768480
UltraCool R8000,2024,9/1/2024,792,E-com,106,1007634,9/28/2024,Mapusa,32878349,27,1770228
LuxFridge R5000,2024,9/1/2024,754,Normal Trade,122,1007682,9/22/2024,Junagadh,16491133,13,1074684
PowerMix,2024,2/1/2024,833,E-com,119,1007763,2/16/2024,Malad,88219260,3,336687
TopCool R1000,2024,12/1/2024,328,Normal Trade,104,1007893,12/8/2024,Manimutharu,48339920,9,706590
PowerMix,2022,1/1/2022,754,E-com,100,1008452,1/4/2022,Nadiad,16877537,21,2356809
LuxFridge R5000,2023,6/1/2023,858,MT,107,1008699,7/9/2023,Kamrup metropolitan,34336115,36,2976048
CoolBox R1000,2024,6/1/2024,242,E-com,121,1008908,6/18/2024,Thrippunithura,23895741,72,5540688
BakePro O3000,2023,6/1/2023,242,MT,111,1009139,6/18/2023,Anantapur,84662900,19,1142793
WM-TL10,2023,2/1/2023,303,Normal Trade,124,1009163,2/27/2023,Bangalore,65011424,71,5517765
CoolBox R1000,2024,12/1/2024,765,MT,103,1009172,12/5/2024,Sas nagar,NULL,11,846494
TurboConvection O9,2023,12/1/2023,818,E-com,109,1009512,12/30/2023,Chhindwara,18889007,21,1743294
UltraCool R8000,2023,6/1/2023,195,E-com,116,1009619,6/15/2023,Barh,48547666,54,3540456
WM-101SA,2024,3/1/2024,195,MT,116,1009839,3/26/2024,Bihar,14639433,70,7949550
PowerMix,2022,6/1/2022,833,MT,119,1010284,7/23/2022,Mhasla,22461686,15,1683435
UltraCool R8000,2023,8/1/2023,125,E-com,101,1010766,8/11/2023,Yellapur,16697739,47,3081508
UltraCool R8000,2023,11/1/2023,754,E-com,100,1010905,11/24/2023,Navsari,21098866,76,4982864
FreshCool R2000,2022,4/1/2022,765,Normal Trade,113,1011118,4/29/2022,Kapurthala,66250899,43,7306345
FreshBreeze-300,2024,3/1/2024,195,MT,116,1011291,3/12/2024,Rajgir,18334476,71,8683158
WM-101SA,2022,3/1/2022,350,E-com,102,1011337,3/26/2022,Angul,72250122,37,4201905
BakePro O3000,2023,3/1/2023,338,Normal Trade,118,1011340,3/15/2023,Korba,67418250,69,4150143
WM-TL10,2023,9/1/2023,350,E-com,102,1011467,9/17/2023,Jajpur town,54524582,50,3885750
FreshCool R2000,2024,10/1/2024,195,Normal Trade,116,1011537,10/4/2024,Wazidpur,NULL,34,5777110
FreshBreeze-300,2022,8/1/2022,858,Normal Trade,107,1012030,8/12/2022,Nahorkotia,99783778,11,1345278
FreshBreeze-300,2023,6/1/2023,130,Normal Trade,114,1012076,7/22/2023,Aurangabad,95634408,64,7827072
FreshCool R2000,2022,4/1/2022,125,MT,101,1012106,4/6/2022,Gokak,51799545,47,7986005
UltraCool R8000,2024,9/1/2024,765,E-com,103,1012148,9/2/2024,Abohar,25172216,54,3540456
UltraCool R8000,2023,11/1/2023,338,Normal Trade,118,1013016,11/21/2023,Bastar,71498755,65,4261660
BakePro O3000,2024,9/1/2024,754,MT,100,1013039,9/27/2024,Mahisagar,31773482,42,2526174
PowerMix,2023,12/1/2023,765,E-com,103,1013314,12/14/2023,Jammu and kashmir,50357936,17,1907893
WM-101SA,2024,6/1/2024,854,Normal Trade,115,1013765,7/23/2024,Barsana,19983865,27,3066255
FreshBreeze-300,2022,6/1/2022,658,E-com,108,1014095,7/9/2022,Hubli,54780993,60,7337880
FreshBreeze-300,2022,10/1/2022,303,Normal Trade,124,1014146,10/21/2022,Madanapalle,98396950,68,8316264
WM-TL10,2022,6/1/2022,833,Normal Trade,119,1014556,6/5/2022,Rabale,15078212,36,2797740
TopCool R1000,2022,3/1/2022,242,MT,105,1014686,5/13/2022,Parayakadu alappuzha,44268909,48,3768480
FreshCool R2000,2022,3/1/2022,130,Normal Trade,114,1014942,5/4/2022,Bilaspur,76712305,16,2718640
FreshFreeze R2800,2022,2/1/2022,303,E-com,123,1015341,2/28/2022,Thatipaka,20394529,20,1579180
FreshBreeze-300,2024,3/1/2024,195,MT,116,1015459,5/26/2024,Katihar,17898708,33,4035834
CoolBox R1000,2024,11/1/2024,818,MT,109,1016127,11/7/2024,Sironj,NULL,78,6002412
PowerMix,2023,12/1/2023,350,E-com,102,1016268,12/19/2023, sundergarh,41019187,17,1907893
PowerMix,2023,11/1/2023,189,Normal Trade,110,1016310,11/12/2023,Sikar,58013215,54,6060366
FreshBreeze-300,2023,6/1/2023,858,MT,107,1016380,7/31/2023,Nahorkotia,62580810,2,244596
WM-101SA,2022,12/1/2022,125,E-com,101,1016764,12/1/2022,Davangere,67448939,27,3066255
FreshFreeze R2800,2024,4/1/2024,792,Normal Trade,106,1016769,4/1/2024,Pernem,36128695,23,1816057
WM-101SA,2022,6/1/2022,242,MT,121,1016794,7/13/2022,Fortkochi,72364542,56,6359640
FreshFreeze R2800,2022,3/1/2022,859,Normal Trade,120,1016885,5/7/2022,Ahmedabad,75539501,1,78959
BakePro O3000,2023,3/1/2023,242,MT,121,1016936,5/23/2023,Nandavanam trivandrum,73124258,2,120294
FreshBreeze-300,2023,3/1/2023,323,Normal Trade,117,1017432,5/22/2023,Mandrem,79540945,14,1712172
FreshFreeze R2800,2022,6/1/2022,303,Normal Trade,123,1017467,7/4/2022,Krishna,99369916,42,3316278
WM-200D,2022,12/1/2022,328,E-com,104,1017764,12/24/2022,Davangere,41143171,31,2623127
WM-101SA,2024,8/1/2024,242,Normal Trade,111,1017948,8/1/2024,Alapuzha,66703633,28,3179820
TurboConvection O9,2023,11/1/2023,658,E-com,108,1018225,11/25/2023,Thrissur,38644905,27,2241378
CoolBox R1000,2022,6/1/2022,328,E-com,104,1018456,6/3/2022,Thiruchengode,63097447,33,2539482
LuxFridge R5000,2024,11/1/2024,658,E-com,108,1019400,11/8/2024,Hyderabad,67918417,3,248004
WM-200D,2023,6/1/2023,765,Normal Trade,103,1019707,7/10/2023,Nawanshahr,79046488,27,2284659
FreshBreeze-300,2024,1/1/2024,338,MT,118,1020136,1/15/2024,Raipur district,97138408,55,6726390
TurboConvection O9,2022,3/1/2022,765,Normal Trade,113,1020454,3/18/2022,Chamba,17244313,11,913154
CoolBox R1000,2024,3/1/2024,854,E-com,115,1020508,5/12/2024,Tundla,28168908,57,4386378
FreshCool R2000,2022,12/1/2022,859,MT,120,1020517,12/6/2022,Vasco da gama,21390585,26,4417790
WM-200D,2023,3/1/2023,754,MT,100,1020606,3/25/2023,Surat,27581819,53,4484701
WM-101SA,2024,11/1/2024,754,E-com,122,1020657,11/8/2024,Kheda,50486249,74,8403810
FreshFreeze R2800,2024,9/1/2024,754,MT,122,1020737,9/5/2024,Palanpur,38805562,5,394795
UltraCool R8000,2024,3/1/2024,189,MT,110,1021398,5/9/2024,Bikaner,60810279,41,2688124
BakePro O3000,2023,3/1/2023,658,MT,108,1021494,5/18/2023,Visakapatnam,16462242,72,4330584
BakePro O3000,2023,4/1/2023,854,E-com,115,1021622,4/19/2023,Kurukshetra,46630640,2,120294
WM-TL10,2022,6/1/2022,132,Normal Trade,112,1022876,6/10/2022,Shikohabad,86842955,57,4429755
WM-101SA,2024,2/1/2024,189,E-com,110,1022878,2/9/2024,Ajmer,94195455,42,4769730
FreshBreeze-300,2022,4/1/2022,854,E-com,115,1023435,4/8/2022,Noida,24335019,36,4402728
FreshFreeze R2800,2024,12/1/2024,854,MT,115,1023487,12/4/2024,Mathura,NULL,69,5448171
UltraCool R8000,2022,6/1/2022,833,E-com,119,1023742,7/22/2022,Chinchani,75728717,54,3540456
PowerMix,2022,10/1/2022,242,Normal Trade,105,1023891,10/27/2022,Nilambur,50204179,65,7294885
BakePro O3000,2024,10/1/2024,242,MT,111,1024156,10/20/2024,Chalakudy,18630365,20,1202940
PowerMix,2024,11/1/2024,195,Normal Trade,116,1024396,11/9/2024,Hajipur,NULL,70,7856030
CleanAir-C100,2024,8/1/2024,130,E-com,114,1024421,8/3/2024,Surguja,56212929,76,7089204
TurboConvection O9,2022,9/1/2022,765,E-com,113,1024528,9/7/2022,Dharamshala,98221829,51,4233714
WM-TL10,2022,9/1/2022,242,Normal Trade,111,1024663,9/10/2022,Ulloor,41466792,19,1476585
WM-TL10,2024,11/1/2024,242,Normal Trade,111,1025762,11/22/2024,Thoudupuzha,NULL,48,3730320
WM-200D,2022,3/1/2022,765,E-com,103,1025783,3/15/2022,Kupwara jammu and kashmir,83994801,66,5584722
TopCool R1000,2024,12/1/2024,338,E-com,118,1026245,12/1/2024,Raipur district,92518345,38,2983380
CoolBox R1000,2022,2/1/2022,338,E-com,118,1026254,2/17/2022,Bhatapara,45590392,41,3155114
FreshBreeze-300,2023,3/1/2023,242,E-com,111,1026375,5/20/2023,Ponnani,35898734,23,2812854
PowerMix,2022,10/1/2022,125,Normal Trade,101,1026701,10/18/2022,Udupi,91948851,31,3479099
WM-TL10,2022,6/1/2022,130,MT,114,1027018,7/22/2022,Yavatmal,24869050,63,4896045
WM-200D,2022,3/1/2022,189,MT,110,1027169,3/8/2022,Tonk,78203840,14,1184638
WM-101SA,2024,4/1/2024,242,E-com,121,1027170,4/6/2024,Palakkad,89779542,35,3974775
CleanAir-C100,2022,8/1/2022,765,Normal Trade,113,1028039,8/19/2022,Pathankot,83608713,54,5037066
BakePro O3000,2024,10/1/2024,818,E-com,109,1028160,10/14/2024,Mandsaur,51714724,37,2225439
WM-101SA,2024,11/1/2024,350,MT,102,1028177,11/4/2024,Dhenkanal,80482215,50,5678250
FreshFreeze R2800,2022,1/1/2022,303,MT,123,1028374,1/20/2022,West godavari,79782527,60,4737540
WM-200D,2023,1/1/2023,189,MT,110,1029006,1/22/2023,Udaipur,81017414,64,5415488
UltraCool R8000,2024,4/1/2024,350,Normal Trade,102,1029823,4/2/2024,Ranpur,95673663,70,4589480
UltraCool R8000,2023,10/1/2023,242,Normal Trade,111,1030163,10/12/2023,Edappally,86884584,51,3343764
BakePro O3000,2022,4/1/2022,323,MT,117,1030749,4/27/2022,Nanded,78645672,39,2345733
WM-TL10,2022,11/1/2022,338,E-com,118,1030805,11/22/2022,Akola,45135816,76,5906340
CleanAir-C100,2024,6/1/2024,132,E-com,112,1031253,7/19/2024,Shahjahanpur,58368776,60,5596740
WM-200D,2024,2/1/2024,189,Normal Trade,110,1031557,2/19/2024,Bikaner,50343569,79,6684743
FreshFreeze R2800,2023,3/1/2023,323,E-com,117,1031800,3/12/2023,Porvorim,45283131,60,4737540
LuxFridge R5000,2024,1/1/2024,323,E-com,117,1032061,1/28/2024,Pune,57684613,36,2976048
CoolBox R1000,2024,12/1/2024,338,E-com,118,1032310,12/31/2024,Korba,70525062,23,1769942
WM-101SA,2022,10/1/2022,658,MT,108,1032318,10/24/2022,Palghar,30620610,47,5337555
LuxFridge R5000,2023,11/1/2023,350,E-com,102,1032500,11/22/2023,Bhubaneswar,11302885,79,6530772
FreshBreeze-300,2022,3/1/2022,242,Normal Trade,105,1032619,5/7/2022,Kondotty malappuram,18809485,72,8805456
FreshFreeze R2800,2024,12/1/2024,792,Normal Trade,106,1032860,12/8/2024,Goa,NULL,27,2131893
TurboConvection O9,2024,10/1/2024,303,Normal Trade,123,1033191,10/19/2024,Razole,NULL,48,3984672
WM-TL10,2022,2/1/2022,130,E-com,114,1033416,2/23/2022,Umred,59373927,57,4429755
BakePro O3000,2023,4/1/2023,754,E-com,100,1033940,4/18/2023,Shirwal,82977041,42,2526174
CleanAir-C100,2023,2/1/2023,303,E-com,123,1034042,2/25/2023,Jangareddygudem,75450100,71,6622809
FreshFreeze R2800,2024,3/1/2024,818,MT,109,1034351,3/25/2024,Shahdol,91709974,82,6474638
WM-101SA,2024,10/1/2024,854,Normal Trade,115,1034726,10/8/2024,Etmadpur,65262582,68,7722420
WM-101SA,2023,3/1/2023,132,E-com,112,1035018,5/12/2023,Rai bareli,73244486,76,8630940
CleanAir-C100,2024,3/1/2024,338,Normal Trade,118,1035258,5/26/2024,Gondia,80636138,6,559674
WM-101SA,2022,6/1/2022,818,E-com,109,1035443,7/26/2022,Narmadapuram,12184722,10,1135650
WM-200D,2023,3/1/2023,338,Normal Trade,118,1035718,5/30/2023,Gondia,17262753,55,4653935
CoolBox R1000,2022,4/1/2022,242,Normal Trade,105,1035720,4/27/2022,Pala,55375402,44,3385976
LuxFridge R5000,2022,3/1/2022,854,E-com,115,1035751,5/4/2022,Narnaul,18373570,8,661344
LuxFridge R5000,2022,6/1/2022,242,E-com,105,1035771,7/5/2022,Gazipur,58086611,57,4712076
FreshCool R2000,2024,1/1/2024,328,Normal Trade,104,1035982,1/15/2024,Rajapalayam,13148100,54,9175410
UltraCool R8000,2022,3/1/2022,125,Normal Trade,101,1036161,5/21/2022,Dakshina kannada,62401521,6,393384
WM-101SA,2024,4/1/2024,818,MT,109,1036611,4/25/2024,Narsinghpur,66771729,27,3066255
WM-101SA,2024,2/1/2024,854,Normal Trade,115,1036671,2/6/2024,Firozabad,87131954,34,3861210
WM-200D,2022,6/1/2022,818,MT,109,1036752,7/12/2022,Itarsi,22740257,69,5838573
TurboConvection O9,2022,4/1/2022,328,E-com,104,1036920,4/10/2022,Tenkasi,60807678,16,1328224
FreshFreeze R2800,2024,8/1/2024,242,E-com,121,1037109,8/26/2024,Kuttikkattoor,20318625,73,5764007
WM-200D,2023,1/1/2023,754,MT,122,1037242,1/9/2023,Kagal,58931261,56,4738552
PowerMix,2022,3/1/2022,189,Normal Trade,110,1037353,5/27/2022,Sikar,51569610,29,3254641
CoolBox R1000,2022,11/1/2022,350,Normal Trade,102,1037773,11/7/2022,Bhadrak,60481546,12,923448
UltraCool R8000,2023,9/1/2023,350,Normal Trade,102,1037905,9/21/2023,Odisha,94856640,47,3081508
BakePro O3000,2023,1/1/2023,328,MT,104,1038211,1/19/2023,Vaniyambadi,82553924,2,120294
PowerMix,2023,10/1/2023,854,E-com,115,1038580,10/1/2023,Khurja,29164667,19,2132351
WM-101SA,2022,6/1/2022,242,MT,111,1038690,7/20/2022,Kondotty malappuram,63529606,52,5905380
CleanAir-C100,2022,2/1/2022,833,E-com,119,1038741,2/3/2022,Vangaon,38748039,38,3544602
TopCool R1000,2023,9/1/2023,765,Normal Trade,103,1039140,9/29/2023,Bathinda,76639928,6,471060
FreshBreeze-300,2022,11/1/2022,132,MT,112,1039513,11/26/2022,Unnao,14993441,51,6237198
TurboConvection O9,2023,11/1/2023,854,MT,115,1039569,11/19/2023,Ambala,22221724,21,1743294
BakePro O3000,2023,6/1/2023,859,MT,120,1039944,6/24/2023,Mumbai,30746239,14,842058
LuxFridge R5000,2022,6/1/2022,125,MT,101,1040606,6/29/2022,Davanagere,67673347,51,4216068
FreshCool R2000,2023,4/1/2023,765,E-com,103,1040918,4/22/2023,Sangrur,99347323,18,3058470
CoolBox R1000,2022,8/1/2022,242,E-com,111,1040951,8/11/2022,Kurnool,37036118,29,2231666
CoolBox R1000,2023,2/1/2023,189,MT,110,1041011,2/18/2023,Khajuwala,55254864,63,4848102
CleanAir-C100,2024,12/1/2024,328,Normal Trade,104,1041491,12/7/2024,Mannargudi,NULL,48,4477392
WM-TL10,2022,4/1/2022,792,Normal Trade,106,1042072,4/1/2022,Panaji,38304343,31,2409165
BakePro O3000,2022,1/1/2022,792,MT,106,1042116,1/8/2022,North goa,56641580,3,180441
WM-200D,2024,4/1/2024,132,MT,112,1042318,4/17/2024,Sultanpur,67190677,17,1438489
PowerMix,2023,12/1/2023,189,E-com,110,1042370,12/1/2023,Tonk,89608199,1,112229
BakePro O3000,2023,8/1/2023,189,E-com,110,1042407,8/25/2023,Banswara,69835743,36,2165292
TopCool R1000,2023,6/1/2023,658,Normal Trade,108,1042543,7/15/2023,Tadpatri,80407193,36,2826360
UltraCool R8000,2024,12/1/2024,338,MT,118,1043037,12/12/2024,Surajpur,NULL,63,4130532
BakePro O3000,2022,3/1/2022,303,MT,123,1043292,3/14/2022,Vishakhapatnam,45126937,58,3488526
PowerMix,2024,1/1/2024,195,E-com,116,1043617,1/21/2024,Barh,13569443,72,8080488
CleanAir-C100,2024,12/1/2024,195,E-com,116,1043708,12/18/2024,Sharif,NULL,61,5690019
CleanAir-C100,2023,11/1/2023,754,MT,122,1043761,11/2/2023,Godhra,27030684,27,2518533
FreshBreeze-300,2024,6/1/2024,754,MT,122,1043851,6/2/2024,Nagpur,15287868,38,4647324
PowerMix,2024,12/1/2024,765,E-com,113,1043856,12/2/2024,Sas nagar,NULL,23,2581267
FreshCool R2000,2024,3/1/2024,765,E-com,103,1043873,5/19/2024,Rajpura,87013414,67,11384305
CleanAir-C100,2022,8/1/2022,858,E-com,107,1044315,8/10/2022,Khatkhati,94652013,26,2425254
PowerMix,2023,6/1/2023,195,E-com,116,1044636,6/17/2023,Purnia,81594665,46,5162534
WM-101SA,2023,2/1/2023,765,MT,103,1044843,2/3/2023,Samgnur,88149963,68,7722420
LuxFridge R5000,2024,6/1/2024,132,E-com,112,1044891,7/17/2024,Bijnor,64830300,11,909348
TopCool R1000,2023,3/1/2023,818,MT,109,1045178,3/11/2023,Vidisha,16788521,15,1177650
TurboConvection O9,2023,10/1/2023,242,E-com,121,1045546,10/30/2023,Wayanad,68145889,43,3569602
FreshCool R2000,2024,4/1/2024,754,Normal Trade,122,1045760,4/1/2024,Amroli,23062971,59,10024985
TurboConvection O9,2023,4/1/2023,328,Normal Trade,104,1045924,4/12/2023,Thiruchirappalli,24038805,32,2656448
FreshFreeze R2800,2024,1/1/2024,242,MT,111,1045975,1/2/2024,Angamaly,52843211,13,1026467
PowerMix,2024,6/1/2024,765,E-com,103,1046609,7/25/2024,Jammu,70206033,70,7856030
FreshFreeze R2800,2022,10/1/2022,242,Normal Trade,105,1046795,10/25/2022,Nh bypass road,66196405,9,710631
WM-TL10,2024,3/1/2024,125,Normal Trade,101,1046916,3/2/2024,Bijapur,54413415,27,2098305
FreshBreeze-300,2022,11/1/2022,195,E-com,116,1047272,11/28/2022,Forbesganj,97490228,27,3302046
FreshBreeze-300,2024,9/1/2024,765,MT,113,1047321,9/14/2024,Himachal pradesh,35555144,19,2323662
FreshCool R2000,2022,4/1/2022,818,Normal Trade,109,1047572,4/20/2022,Pune,47215199,46,7816090
UltraCool R8000,2022,2/1/2022,754,MT,122,1047648,2/22/2022,Shirwal,19570981,61,3999404
WM-101SA,2022,6/1/2022,338,E-com,118,1047841,6/21/2022,Akola,63781664,42,4769730
TurboConvection O9,2023,3/1/2023,858,Normal Trade,107,1048085,3/19/2023,Nagaon,37283734,52,4316728
CoolBox R1000,2022,1/1/2022,765,E-com,113,1048293,1/4/2022,Kapurthala,94734606,23,1769942
TopCool R1000,2024,10/1/2024,754,Normal Trade,122,1048416,10/12/2024,Ghandhinagar,17709617,71,5574210
BakePro O3000,2022,2/1/2022,189,MT,110,1048622,2/15/2022,Udaipur,87529382,19,1142793
WM-TL10,2023,8/1/2023,859,MT,120,1049044,8/8/2023,North goa district,47827108,17,1321155
FreshCool R2000,2022,1/1/2022,658,Normal Trade,108,1049281,1/27/2022,Mancherial,55187097,75,12743625
TurboConvection O9,2024,6/1/2024,125,E-com,101,1049878,6/27/2024,Mundgod,62402501,62,5146868
BakePro O3000,2024,1/1/2024,328,MT,104,1050039,1/31/2024,Tanjore,88301374,22,1323234
FreshCool R2000,2023,4/1/2023,859,Normal Trade,120,1050043,4/4/2023,Ghatkoper east,86892816,35,5947025
WM-200D,2024,6/1/2024,792,Normal Trade,106,1050151,6/1/2024,Margao,94622117,17,1438489
CleanAir-C100,2024,3/1/2024,818,MT,109,1050421,5/12/2024,Prathvipur,52741825,47,4384113
FreshFreeze R2800,2022,8/1/2022,338,Normal Trade,118,1050754,8/4/2022,Aurangabad,91202896,19,1500221
FreshFreeze R2800,2024,9/1/2024,242,Normal Trade,105,1050782,9/12/2024,Ponnani,52284889,68,5369212
FreshCool R2000,2022,2/1/2022,130,E-com,114,1050863,2/8/2022,Parbhani,95656230,1,169915
CoolBox R1000,2024,10/1/2024,658,E-com,108,1051224,10/6/2024,Nellore,53917970,38,2924252
CoolBox R1000,2023,6/1/2023,125,Normal Trade,101,1051543,7/1/2023,Bidadi,56262553,39,3001206
TurboConvection O9,2023,3/1/2023,350,MT,102,1051574,5/30/2023,Chandikhole,93357007,2,166028
TurboConvection O9,2024,8/1/2024,765,MT,103,1051752,8/21/2024,Sultanpur lodhi,71326664,58,4814812
CleanAir-C100,2022,6/1/2022,754,E-com,122,1052235,7/15/2022,Aravalli,36486839,43,4010997
FreshBreeze-300,2023,8/1/2023,818,E-com,109,1052684,8/29/2023,Mandsaur,53735066,57,6970986
TopCool R1000,2023,10/1/2023,303,MT,124,1053420,10/10/2023,Devarapalli,55752308,15,1177650
WM-200D,2024,11/1/2024,242,MT,121,1053795,11/30/2024,Vijayawada,NULL,78,6600126
CleanAir-C100,2024,8/1/2024,242,MT,111,1053884,8/18/2024,Palarivattom,67688530,58,5410182
LuxFridge R5000,2024,3/1/2024,323,MT,117,1053973,5/7/2024,Panajigoa,42859878,18,1488024
WM-101SA,2023,10/1/2023,858,E-com,107,1054091,10/8/2023,Imphal,54823974,19,2157735
WM-101SA,2022,11/1/2022,242,E-com,111,1054096,11/28/2022,Palarivattom,51763795,50,5678250
TurboConvection O9,2024,3/1/2024,242,E-com,121,1054152,3/16/2024,Thalassery,88871038,46,3818644
WM-TL10,2023,6/1/2023,754,E-com,122,1054381,7/16/2023,Anand,76117451,74,5750910
TurboConvection O9,2023,6/1/2023,754,Normal Trade,100,1054447,6/26/2023,Thavar,45351479,15,1245210
TurboConvection O9,2022,8/1/2022,350,Normal Trade,102,1054467,8/14/2022,Bhadrak,33873133,38,3154532
BakePro O3000,2022,8/1/2022,833,Normal Trade,119,1054490,8/11/2022,Bandra,71406272,44,2646468
FreshCool R2000,2024,4/1/2024,754,E-com,100,1054575,4/15/2024,Shirwal,20506156,25,4247875
BakePro O3000,2023,6/1/2023,328,MT,104,1054711,7/5/2023,Peramablur,54062774,47,2826909
TurboConvection O9,2023,4/1/2023,125,E-com,101,1055306,4/28/2023,Mysore,76520752,57,4731798
FreshFreeze R2800,2023,8/1/2023,765,Normal Trade,103,1055329,8/6/2023,Mohali,71854161,18,1421262
BakePro O3000,2022,12/1/2022,765,Normal Trade,113,1055463,12/9/2022,Sunam,67615305,46,2766762
CoolBox R1000,2022,12/1/2022,130,MT,114,1055548,12/8/2022,Nandura,47681666,57,4386378
UltraCool R8000,2023,6/1/2023,765,MT,103,1055644,6/29/2023,Punjab,76576334,7,458948
CleanAir-C100,2023,8/1/2023,189,Normal Trade,110,1055838,8/26/2023,Khajuwala,42152047,6,559674
WM-200D,2024,11/1/2024,818,Normal Trade,109,1056132,11/21/2024,Narmadapuram,NULL,2,169234
LuxFridge R5000,2024,3/1/2024,858,Normal Trade,107,1056221,5/6/2024,Bhubaneswar,90027890,67,5538756
WM-200D,2024,9/1/2024,765,Normal Trade,113,1056298,9/22/2024,City hapur,68814902,23,1946191
WM-101SA,2022,3/1/2022,858,Normal Trade,107,1056553,5/29/2022,Kamrup metropolitan,30011366,48,5451120
FreshFreeze R2800,2022,6/1/2022,765,Normal Trade,103,1057552,6/4/2022,Bilaspur,95653922,54,4263786
CleanAir-C100,2024,12/1/2024,859,E-com,120,1057864,12/27/2024,Fort,NULL,28,2611812
LuxFridge R5000,2022,12/1/2022,242,MT,105,1058272,12/13/2022,Thiruvananthapuram,13051483,45,3720060
TurboConvection O9,2023,6/1/2023,792,Normal Trade,106,1058521,7/30/2023,Old goa,84591120,53,4399742
CoolBox R1000,2024,4/1/2024,854,Normal Trade,115,1058643,4/5/2024,Najibabad,44506224,42,3232068
WM-200D,2023,3/1/2023,765,Normal Trade,113,1058925,5/20/2023,Sunam,47345463,59,4992403
TurboConvection O9,2023,4/1/2023,854,E-com,115,1059222,4/2/2023,Rewari,30435456,3,249042
CleanAir-C100,2023,1/1/2023,303,Normal Trade,123,1059260,1/23/2023,Nallajarla,76405189,17,1585743
FreshFreeze R2800,2024,8/1/2024,338,Normal Trade,118,1059272,8/20/2024,Raipur district,93558632,5,394795
WM-101SA,2024,12/1/2024,242,Normal Trade,105,1059760,12/29/2024,Chengannur,47824131,55,6246075
WM-TL10,2022,4/1/2022,328,Normal Trade,104,1059941,4/17/2022,Mayiladudurai,63334404,73,5673195
CleanAir-C100,2023,6/1/2023,242,Normal Trade,121,1060153,7/5/2023,Kondotty malappuram,26132729,71,6622809
