Invoice_No,OBD_No,Billing_Date,Billing_Amount,IOD_Date,Delivery_Days
4265640,67699732,2/8/2022,47.71148,4/1/2022,48
5722122,13608206,2/8/2022,60.07807,3/31/2022,47
1050863,95656230,2/8/2022,1.69915,2/9/2022,3
6933123,43768099,2/9/2022,21.32351,2/10/2022,2
3762152,60864911,2/9/2022,55.2713,3/31/2022,49
1250527,35666506,2/9/2022,11.57352,2/10/2022,3
4287880,92816097,2/9/2022,14.88024,2/10/2022,3
1181996,52777522,2/9/2022,85.6086,4/1/2022,50
8571673,43161167,2/9/2022,39.69702,4/4/2022,51
3020013,57139748,2/9/2022,50.42748,4/5/2022,54
5919178,50067637,2/9/2022,18.3447,2/10/2022,2
5809679,23271700,2/9/2022,25.26174,3/29/2022,44
8217356,89678144,2/9/2022,77.2242,3/31/2022,48
7718433,80325062,2/9/2022,37.70746,3/27/2022,45
5644020,86104367,2/9/2022,46.53935,3/31/2022,48
7107511,58574991,2/9/2022,7.8959,2/10/2022,1
6497758,61465683,2/9/2022,1.96692,2/10/2022,2
9949741,67765028,2/9/2022,5.92319,2/10/2022,1
6794100,37855920,2/9/2022,41.9661,4/4/2022,53
5993761,83328070,2/9/2022,17.0973,2/10/2022,0
7832421,68448489,2/9/2022,76.08855,4/1/2022,48
3877565,44906728,2/9/2022,53.62335,4/5/2022,50
6606737,89445899,2/9/2022,59.47025,3/27/2022,43
5484270,92724106,2/9/2022,30.66255,3/18/2022,32
6377143,44986948,2/9/2022,42.74325,4/3/2022,50
8029723,80298247,2/9/2022,9.8346,2/10/2022,3
6090377,39573041,2/9/2022,48.77412,4/1/2022,51
8190144,62368002,2/9/2022,60.18945,3/31/2022,47
9774950,13931861,2/9/2022,12.34519,2/10/2022,2
6380888,95624206,2/9/2022,16.391,2/10/2022,2
7544296,73698335,2/9/2022,32.37319,3/14/2022,31
9765200,88429219,2/9/2022,29.76048,3/24/2022,42
4064453,35983948,2/9/2022,2.79837,2/10/2022,2
8699613,22483470,2/9/2022,10.26069,2/10/2022,2
1463407,42378692,2/9/2022,57.7711,2/14/2022,2
5815583,85210503,2/9/2022,124.03795,3/31/2022,50
1150238,34513473,2/9/2022,56.94596,4/2/2022,49
3385520,13369963,2/9/2022,60.92424,4/1/2022,46
6317241,19336610,2/9/2022,36.6894,2/21/2022,8
9975562,22693316,2/9/2022,28.42524,3/2/2022,19
2428614,35827078,2/9/2022,21.57735,2/10/2022,2
7525222,69389198,2/9/2022,112.1439,4/2/2022,50
7411540,17886725,2/9/2022,18.35792,2/25/2022,15
6071415,37140392,2/9/2022,28.22476,3/14/2022,30
1988408,92473495,2/9/2022,62.37198,4/4/2022,50
9040224,88147469,2/9/2022,68.45969,4/4/2022,53
6641950,45277213,2/10/2022,4.89192,2/11/2022,2
4381382,66348425,2/10/2022,2.36877,2/11/2022,1
5830358,96744801,2/10/2022,9.78384,2/11/2022,4
6364160,10352830,2/10/2022,1.69234,2/11/2022,0
2378217,27301044,2/10/2022,124.03795,4/3/2022,49
8108304,36232612,2/10/2022,1.12229,2/11/2022,1
8067382,52196444,2/10/2022,32.782,3/22/2022,35
6862751,36014108,2/10/2022,64.36251,4/2/2022,48
1748853,72031070,2/10/2022,42.98736,4/4/2022,52
7993453,97848347,2/10/2022,13.5932,2/11/2022,2
1936248,84819349,2/10/2022,84.17175,4/6/2022,53
2037086,90892942,2/10/2022,4.7106,2/11/2022,1
6226839,18506152,2/10/2022,54.99221,2/17/2022,7
5212998,77027173,2/10/2022,3.73116,2/11/2022,0
5877187,72843313,2/10/2022,28.10712,3/20/2022,38
3371734,67130722,2/10/2022,33.7593,2/25/2022,12
3798082,25174194,2/10/2022,47.57229,4/5/2022,52
3351868,66623995,2/10/2022,61.17432,4/4/2022,51
2583189,38933457,2/10/2022,46.56165,3/26/2022,41
6101036,63076788,2/10/2022,16.23969,2/21/2022,10
5276784,21538938,2/10/2022,29.47203,3/4/2022,21
6493142,17351576,2/10/2022,30.7816,3/28/2022,44
4119511,57924903,2/10/2022,105.3473,4/6/2022,54
8088937,51895392,2/10/2022,27.63565,3/13/2022,31
4925393,82679170,2/10/2022,77.43801,4/6/2022,52
8887754,34374441,2/10/2022,5.09745,2/11/2022,4
7865555,55063823,2/10/2022,49.25056,4/3/2022,50
7128954,56613678,2/10/2022,28.87056,2/26/2022,16
2219561,11677049,2/11/2022,29.76048,4/2/2022,45
5683710,11946674,2/11/2022,49.74417,4/5/2022,49
5176591,24909280,2/11/2022,74.9529,4/4/2022,49
6905501,20194178,2/11/2022,31.79748,2/28/2022,14
8039553,34420564,2/11/2022,16.16034,2/12/2022,1
7563570,59557403,2/11/2022,58.42966,4/5/2022,50
5788962,86517486,2/11/2022,11.19348,2/12/2022,4
6324124,77870478,2/11/2022,74.60178,4/7/2022,52
4632849,74089951,2/11/2022,27.1864,2/12/2022,1
5774228,52805286,2/11/2022,19.58859,2/12/2022,1
3307963,30796389,2/11/2022,33.85976,3/3/2022,17
1097535,65468928,2/11/2022,78.1609,3/9/2022,21
2071418,79641917,2/11/2022,58.38573,4/6/2022,50
1115426,11885603,2/11/2022,1.66028,2/12/2022,0
5646746,96519508,2/11/2022,69.27465,4/6/2022,50
4444132,37916520,2/11/2022,28.19252,2/18/2022,3
9962505,94943883,2/11/2022,3.9255,2/12/2022,0
5437438,81451022,2/11/2022,15.29235,2/12/2022,1
2955879,14970998,2/11/2022,13.5932,2/12/2022,1
6910559,90709734,2/11/2022,72.94885,4/3/2022,49
6297094,84305052,2/11/2022,42.64702,2/16/2022,3
2505437,33592931,2/11/2022,2.24458,2/12/2022,1
4008768,88536540,2/11/2022,16.4871,2/12/2022,2
4557565,20614454,2/11/2022,55.00105,4/2/2022,47
6432673,36177761,2/11/2022,7.33788,2/12/2022,2
3092208,78019634,2/11/2022,38.477,2/24/2022,12
7171347,86560394,2/11/2022,1.65336,2/12/2022,3
8240881,89722688,2/11/2022,29.0549,3/15/2022,27
5449368,71070189,2/11/2022,22.4458,2/12/2022,3
7901714,36041396,2/11/2022,79.68259,4/5/2022,51
3947772,39919845,2/11/2022,62.49693,4/5/2022,51
4875838,81358338,2/11/2022,17.0973,2/12/2022,1
9739541,49942639,2/11/2022,14.21262,2/12/2022,1
5610226,99563347,2/11/2022,11.05426,2/12/2022,0
9249669,47309803,2/11/2022,46.55044,4/4/2022,48
2197664,49384624,2/11/2022,32.9742,4/1/2022,47
2128128,50844761,2/11/2022,5.52713,2/12/2022,4
3145923,90154379,2/11/2022,33.95237,2/15/2022,2
6331765,96476287,2/11/2022,22.9474,3/4/2022,21
3648214,24630685,2/12/2022,13.08218,2/13/2022,1
5738829,43316392,2/12/2022,54.99221,3/4/2022,15
8642680,29932519,2/12/2022,55.03461,4/6/2022,53
8175395,85283645,2/12/2022,21.05145,3/21/2022,34
9598302,84411183,2/12/2022,31.86315,2/22/2022,6
2423423,29537240,2/12/2022,23.60304,2/25/2022,11
4159154,36169665,2/12/2022,63.59496,4/5/2022,49
7134489,92125234,2/12/2022,17.69942,2/13/2022,3
6387914,24657843,2/12/2022,17.70228,3/28/2022,41
5206737,55685726,2/12/2022,36.0602,4/6/2022,50
8241248,52106301,2/12/2022,49.43787,4/7/2022,53
6521202,56993293,2/12/2022,7.94955,2/13/2022,3
1736524,41067722,2/12/2022,33.02046,2/23/2022,7
1141671,29715953,2/12/2022,3.8477,2/13/2022,1
1389899,86178952,2/12/2022,14.42408,2/13/2022,2
3982812,87554445,2/12/2022,68.09367,4/7/2022,53
9832094,39815643,2/12/2022,7.81911,2/13/2022,2
1103534,30087884,2/12/2022,46.94194,4/5/2022,47
8085974,66706653,2/12/2022,24.91432,4/2/2022,48
8769303,37421262,2/12/2022,1.65336,2/13/2022,2
8271756,30921653,2/12/2022,46.1724,4/8/2022,51
7818024,69007642,2/12/2022,82.90245,4/7/2022,52
8492618,31715773,2/12/2022,32.28385,2/13/2022,1
1628337,62143240,2/12/2022,40.89996,4/8/2022,52
6656557,38000749,2/12/2022,18.18696,2/13/2022,2
2661675,41694617,2/12/2022,8.52332,2/13/2022,4
5575695,82766521,2/12/2022,22.32036,3/5/2022,21
1479451,18393416,2/12/2022,42.33714,4/6/2022,51
8050356,14838121,2/12/2022,41.334,2/14/2022,2
1220710,69379544,2/12/2022,22.00042,3/26/2022,39
9575539,34585564,2/12/2022,81.93966,4/8/2022,54
6159644,65616876,2/12/2022,38.49408,4/4/2022,50
9581868,59933733,2/12/2022,5.67825,2/13/2022,3
3584996,35529779,2/12/2022,51.25416,4/6/2022,50
8826393,78863376,2/12/2022,8.97832,2/13/2022,2
7190319,88736156,2/12/2022,78.35985,4/3/2022,47
2929683,10525039,2/12/2022,62.49693,4/8/2022,53
1064068,70864315,2/12/2022,72.6816,4/3/2022,47
4447207,60057985,2/12/2022,62.2605,4/3/2022,47
1827266,62292747,2/12/2022,64.81794,4/5/2022,49
1305589,28351907,2/12/2022,51.62534,2/18/2022,1
3390091,65408139,2/12/2022,1.22298,2/13/2022,1
4857678,48675508,2/12/2022,125.7371,4/3/2022,48
5627279,38491560,2/12/2022,15.03675,2/13/2022,3
5660351,89356649,2/12/2022,27.07744,3/1/2022,16
5573282,59631122,2/12/2022,45.8948,4/5/2022,50
6439195,44721091,2/12/2022,19.6275,2/13/2022,0
7706319,50050708,2/13/2022,53.81112,3/3/2022,16
9327907,23274325,2/13/2022,1.5543,2/14/2022,1
4192453,40616624,2/13/2022,21.45417,2/14/2022,1
1735276,76077091,2/13/2022,14.1318,2/14/2022,1
3482081,90577383,2/13/2022,56.21424,4/4/2022,48
9376038,98816127,2/13/2022,69.70986,4/8/2022,49
6087061,72720220,2/13/2022,10.26467,2/14/2022,2
1233949,30329530,2/13/2022,34.88526,4/7/2022,51
3218861,57696029,2/13/2022,48.48102,4/6/2022,48
8882244,73875700,2/13/2022,37.23148,3/1/2022,14
1923227,51512209,2/13/2022,3.94795,2/14/2022,1
7203905,12276349,2/13/2022,53.8678,4/4/2022,48
9182885,25364597,2/13/2022,53.09826,4/8/2022,49
1211031,10625592,2/13/2022,45.0747,4/4/2022,47
6799536,14662067,2/13/2022,2.79837,2/14/2022,1
8120500,43534134,2/13/2022,45.85185,4/6/2022,48
2280254,35005684,2/13/2022,81.92717,4/6/2022,48
9383049,41301896,2/13/2022,31.27644,4/8/2022,51
3331197,87511871,2/13/2022,39.01658,3/4/2022,16
7551864,98155778,2/13/2022,54.48171,4/6/2022,50
8186704,85451050,2/13/2022,33.58044,3/20/2022,32
1180863,14415512,2/13/2022,40.4118,4/5/2022,48
2113837,11030344,2/13/2022,42.74325,4/4/2022,49
5015786,96300248,2/13/2022,32.47938,4/8/2022,54
9016781,11174271,2/13/2022,13.21155,2/14/2022,0
1671253,42898142,2/13/2022,33.41745,3/5/2022,19
3906397,84479105,2/13/2022,64.5677,2/26/2022,9
7145165,26576253,2/13/2022,54.3728,2/17/2022,0
4304572,48974523,2/13/2022,4.73754,2/14/2022,1
6111680,32704265,2/13/2022,34.74196,2/14/2022,3
6389136,84664486,2/13/2022,12.2298,2/14/2022,2
8554947,93842298,2/13/2022,57.8676,4/5/2022,47
4937419,68234321,2/13/2022,17.43294,2/14/2022,0
6191284,84771312,2/13/2022,9.4212,2/14/2022,1
4711225,56509909,2/13/2022,11.05426,2/14/2022,2
8614576,21947100,2/13/2022,38.477,3/18/2022,30
7380222,26844949,2/13/2022,58.76577,4/6/2022,50
9303123,90432789,2/13/2022,57.7711,3/20/2022,32
9294272,63640499,2/13/2022,5.81098,2/14/2022,3
4603881,67671370,2/13/2022,50.63854,4/9/2022,55
3845089,33158368,2/14/2022,17.72301,2/15/2022,3
8727693,74954076,2/14/2022,45.0747,4/6/2022,48
2259160,10270663,2/14/2022,63.42972,4/8/2022,52
9187470,17796010,2/14/2022,6.61617,2/15/2022,0
8669093,18429833,2/14/2022,92.94648,4/9/2022,53
4611283,65601698,2/14/2022,62.84824,4/5/2022,45
8364573,41452485,2/14/2022,4.98084,2/15/2022,4
5073233,68770544,2/14/2022,25.48725,2/15/2022,1
3826178,20413322,2/14/2022,59.77008,4/5/2022,46
4461265,21982151,2/14/2022,4.73754,2/15/2022,1
2364501,77227248,2/14/2022,15.73536,2/15/2022,1
8859220,69186422,2/14/2022,26.46468,3/2/2022,14
8641531,29779316,2/14/2022,44.50878,4/8/2022,50
4319670,31198408,2/14/2022,44.77392,2/16/2022,3
6944962,15160879,2/14/2022,6.8139,2/15/2022,3
1388492,47971974,2/14/2022,11.00021,2/15/2022,2
4872020,77576689,2/14/2022,6.8139,2/15/2022,1
9174560,29457977,2/14/2022,10.77356,2/15/2022,2
5958242,21032632,2/14/2022,42.8043,3/7/2022,21
5122525,79619091,2/14/2022,11.80152,2/15/2022,3
7785090,95918360,2/14/2022,7.10631,2/15/2022,0
8887673,37594352,2/14/2022,32.12636,3/25/2022,37
4158732,76264189,2/14/2022,47.69622,3/1/2022,12
4458181,39608215,2/14/2022,63.5964,4/6/2022,46
4218464,82621970,2/14/2022,1.5543,2/15/2022,2
6964621,72443832,2/14/2022,14.42408,2/15/2022,2
8455160,56420959,2/14/2022,24.69038,2/15/2022,2
6559653,39670530,2/15/2022,44.21704,4/11/2022,52
4488189,98049954,2/15/2022,16.5336,2/16/2022,0
6669795,22152478,2/15/2022,62.001,4/9/2022,49
8967236,95050484,2/15/2022,17.36028,2/16/2022,1
3199188,36406040,2/15/2022,21.05145,4/2/2022,43
5723640,62758510,2/15/2022,6.31672,2/16/2022,1
2360015,71771451,2/15/2022,60.18945,4/7/2022,47
3424571,20382674,2/15/2022,27.28044,2/17/2022,1
3485442,41832433,2/15/2022,30.46212,3/14/2022,24
2516667,44385218,2/15/2022,5.67825,2/16/2022,2
5458615,23954006,2/15/2022,57.5091,4/8/2022,51
8302025,88971775,2/15/2022,38.49408,4/10/2022,51
6941118,20329067,2/15/2022,54.48171,4/11/2022,53
9453252,81796939,2/15/2022,43.27224,4/8/2022,51
5386963,57377724,2/15/2022,34.74892,4/10/2022,52
1048622,87529382,2/15/2022,11.42793,2/16/2022,1
7288172,75987636,2/15/2022,8.2668,2/16/2022,1
8462069,30691715,2/15/2022,48.96045,4/9/2022,52
9041253,57338504,2/15/2022,27.1864,2/16/2022,3
4388030,75264580,2/15/2022,14.38489,2/16/2022,4
9890511,17769049,2/15/2022,1.86558,2/16/2022,3
4148654,36745249,2/15/2022,48.1833,4/8/2022,48
9983037,53634616,2/15/2022,21.54712,2/25/2022,7
5171258,24951680,2/15/2022,40.35834,3/27/2022,35
7241631,47583647,2/16/2022,39.08045,2/17/2022,2
4087244,27198225,2/16/2022,40.4118,4/8/2022,51
5075991,90847706,2/16/2022,52.90752,4/7/2022,49
8039672,13285625,2/16/2022,41.97555,3/31/2022,42
9449836,94015019,2/16/2022,23.85574,3/15/2022,25
2916069,45955440,2/16/2022,6.61617,2/17/2022,2
1498015,37455833,2/16/2022,33.6687,3/9/2022,18
9317941,31895055,2/16/2022,79.68259,4/9/2022,47
9239528,85819912,2/16/2022,28.84816,3/18/2022,29
5390623,14428397,2/16/2022,12.4002,2/17/2022,3
8753086,86224438,2/16/2022,6.7966,2/17/2022,2
1698478,35243522,2/16/2022,18.64557,2/27/2022,7
8035689,21831233,2/16/2022,30.81508,2/24/2022,5
5729761,73146805,2/16/2022,6.64112,2/17/2022,1
8049385,83294452,2/16/2022,15.543,2/17/2022,0
7106894,17120171,2/16/2022,20.98048,3/18/2022,26
1960353,57785434,2/16/2022,33.02046,4/1/2022,44
2686363,33788294,2/16/2022,43.86378,4/9/2022,50
2104519,87205008,2/16/2022,17.44263,2/25/2022,6
9159371,38545292,2/16/2022,24.53893,3/5/2022,16
4391499,45524800,2/16/2022,1.65336,2/17/2022,3
9789963,78393472,2/16/2022,62.37198,4/11/2022,53
7789095,54295922,2/16/2022,122.3388,4/9/2022,50
2589552,51496756,2/16/2022,81.5592,3/5/2022,15
5327097,99784822,2/16/2022,90.50052,4/11/2022,51
4763395,79594499,2/16/2022,67.3374,4/9/2022,49
8653943,73371388,2/16/2022,13.99185,2/17/2022,0
1476523,75221722,2/16/2022,51.10425,3/6/2022,15
7095713,42834116,2/16/2022,3.1086,2/17/2022,3
7049733,67725168,2/16/2022,15.543,2/17/2022,2
2675184,45572859,2/16/2022,107.04645,4/9/2022,51
6487658,79175954,2/16/2022,28.05725,2/17/2022,2
9325224,37154001,2/16/2022,11.00021,2/17/2022,2
9359501,10605180,2/16/2022,67.966,2/21/2022,3
2161873,57240995,2/16/2022,52.2399,3/18/2022,28
6473120,13631729,2/16/2022,69.27465,4/7/2022,47
1597875,95160766,2/16/2022,57.83298,4/10/2022,50
2815718,77068267,2/17/2022,2.48004,2/18/2022,1
1485669,33318633,2/17/2022,124.03795,4/8/2022,45
6432543,57130211,2/17/2022,46.56165,2/19/2022,0
2920648,35939489,2/17/2022,30.58716,3/17/2022,25
6958367,62740167,2/17/2022,67.00335,4/9/2022,49
2027256,11055199,2/17/2022,29.8338,3/13/2022,21
8874812,46450465,2/17/2022,55.03461,4/8/2022,48
8993163,41411644,2/17/2022,86.3094,4/10/2022,49
4985398,22873617,2/17/2022,54.1719,4/12/2022,49
4506007,10265290,2/17/2022,14.05356,2/18/2022,4
2498750,40998638,2/17/2022,41.04276,4/6/2022,45
2753911,40007274,2/17/2022,67.2639,4/13/2022,54
2002850,23409058,2/17/2022,4.73754,2/18/2022,2
3500349,56535485,2/17/2022,12.49215,2/18/2022,3
8540012,80394905,2/17/2022,55.2713,4/10/2022,49
9789295,71986072,2/17/2022,12.63087,2/18/2022,1
1026254,45590392,2/17/2022,31.55114,3/15/2022,23
2116451,18268662,2/17/2022,83.04946,4/10/2022,50
7337385,86551556,2/17/2022,55.9548,4/11/2022,49
1786330,85448989,2/17/2022,1.86558,2/18/2022,3
6856506,97755635,2/17/2022,26.05647,2/27/2022,6
5339934,43131349,2/17/2022,41.84827,4/13/2022,52
3245147,13728160,2/17/2022,3.60882,2/18/2022,1
7415747,12310226,2/17/2022,20.3898,2/18/2022,0
9310274,21307344,2/17/2022,0.65564,2/18/2022,2
1961870,78278971,2/17/2022,56.25708,3/18/2022,28
4058281,70420361,2/17/2022,15.71206,2/18/2022,1
8132878,78767208,2/17/2022,14.9169,2/18/2022,4
7248893,78140811,2/17/2022,41.05868,4/11/2022,51
5605141,27650185,2/17/2022,45.11025,4/13/2022,55
8363152,67379655,2/17/2022,48.50508,4/13/2022,52
1206563,77123368,2/17/2022,5.90076,2/18/2022,3
7964467,84012933,2/17/2022,7.33788,2/18/2022,0
3822312,17560687,2/17/2022,40.01608,4/11/2022,50
1884462,30700538,2/17/2022,24.66027,4/6/2022,48
4813678,88871970,2/17/2022,70.89204,4/8/2022,48
7528651,11332984,2/17/2022,91.7541,4/9/2022,50
4535586,40143583,2/17/2022,22.29176,3/11/2022,21
1827444,56387341,2/17/2022,29.76048,3/10/2022,21
7502214,49486861,2/17/2022,48.16499,4/8/2022,47
1963205,21352822,2/17/2022,45.79622,4/13/2022,53
9814085,39305541,2/17/2022,2.44596,2/18/2022,2
6130054,10713499,2/17/2022,7.6954,2/18/2022,1
2909764,53526721,2/17/2022,8.49575,2/18/2022,1
2345254,41271665,2/18/2022,44.77392,3/31/2022,40
1771147,90991106,2/18/2022,6.99435,2/19/2022,1
9371812,24679419,2/18/2022,4.89192,2/19/2022,3
1113458,14493851,2/18/2022,58.1098,4/11/2022,52
3570121,47419903,2/18/2022,59.48137,4/10/2022,47
9149532,82612215,2/18/2022,43.86378,4/9/2022,49
5356596,27600570,2/18/2022,28.12854,2/19/2022,2
1965082,49107858,2/18/2022,35.40456,4/12/2022,53
2638807,77377905,2/18/2022,69.95925,4/9/2022,46
8973915,83793389,2/18/2022,42.47875,2/19/2022,2
3610008,26299519,2/18/2022,70.93284,4/12/2022,48
3384724,80410475,2/18/2022,3.8477,2/19/2022,2
2932555,29112869,2/18/2022,38.07765,3/22/2022,30
8576462,66343773,2/18/2022,47.38552,4/9/2022,48
9906450,89414336,2/18/2022,14.11238,2/19/2022,1
1270862,78706154,2/18/2022,31.27644,4/10/2022,47
8025984,89657131,2/18/2022,19.42875,2/19/2022,4
4780379,87498010,2/18/2022,9.62352,2/19/2022,1
5996836,99971307,2/18/2022,54.48171,4/10/2022,49
2758200,26514500,2/18/2022,14.1318,2/19/2022,1
2448717,10521062,2/18/2022,55.38756,4/11/2022,50
5618750,89782793,2/18/2022,24.69038,2/19/2022,2
7449845,61818194,2/18/2022,32.37546,3/7/2022,14
7104180,85056573,2/18/2022,71.54595,4/10/2022,48
3050208,82374339,2/18/2022,51.0315,4/11/2022,50
2830278,26625932,2/18/2022,37.3032,4/2/2022,41
6852111,73280496,2/18/2022,38.24439,2/21/2022,1
4551370,97758252,2/18/2022,2.53851,2/19/2022,1
4996982,15538231,2/18/2022,37.03557,3/21/2022,29
2563204,28279258,2/18/2022,39.69702,4/10/2022,48
8157702,77611581,2/18/2022,22.84659,2/20/2022,1
2108224,16564882,2/19/2022,4.58948,2/20/2022,4
3372568,23713785,2/19/2022,17.2722,2/20/2022,2
5633024,79082595,2/19/2022,34.74892,4/11/2022,47
8880122,58080622,2/19/2022,52.46254,4/12/2022,48
9474848,31390345,2/19/2022,34.0695,3/19/2022,25
3771491,44886527,2/19/2022,41.58132,3/26/2022,32
6629822,57303591,2/19/2022,42.3954,4/11/2022,49
5052299,54047373,2/19/2022,1.65336,2/20/2022,3
4497162,73461570,2/19/2022,50.9745,4/1/2022,37
2373530,26299240,2/19/2022,36.16838,3/20/2022,28
8137407,13552710,2/19/2022,31.41384,3/1/2022,7
4823157,32593799,2/19/2022,8.97832,2/20/2022,1
1954306,70071563,2/19/2022,120.63965,4/13/2022,50
5178836,95095735,2/19/2022,29.35152,2/20/2022,1
9484919,71425337,2/19/2022,4.61724,2/20/2022,1
